,icd9cm,icd10,description,flags,approximate,no_map,combination,scenario,choice_list
0,0010,A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",0,0,0,0,0,0
1,0011,A001,"Cholera due to Vibrio cholerae 01, biovar eltor",0,0,0,0,0,0
2,0019,A009,"Cholera, unspecified",0,0,0,0,0,0
3,0020,A0100,"Typhoid fever, unspecified",10000,1,0,0,0,0
4,0020,A0101,Typhoid meningitis,10000,1,0,0,0,0
5,0020,A0102,Typhoid fever with heart involvement,10000,1,0,0,0,0
6,0020,A0103,Typhoid pneumonia,10000,1,0,0,0,0
7,0020,A0104,Typhoid arthritis,10000,1,0,0,0,0
8,0020,A0105,Typhoid osteomyelitis,10000,1,0,0,0,0
9,0020,A0109,Typhoid fever with other complications,10000,1,0,0,0,0
10,0021,A011,Paratyphoid fever A,0,0,0,0,0,0
11,0022,A012,Paratyphoid fever B,0,0,0,0,0,0
12,0023,A013,Paratyphoid fever C,0,0,0,0,0,0
13,0029,A014,"Paratyphoid fever, unspecified",0,0,0,0,0,0
14,0030,A020,Salmonella enteritis,0,0,0,0,0,0
15,0031,A021,Salmonella sepsis,10111,1,0,1,1,1
16,99591,A021,Salmonella sepsis,10112,1,0,1,1,2
17,00320,A0220,"Localized salmonella infection, unspecified",0,0,0,0,0,0
18,00321,A0221,Salmonella meningitis,0,0,0,0,0,0
19,00322,A0222,Salmonella pneumonia,0,0,0,0,0,0
20,00323,A0223,Salmonella arthritis,0,0,0,0,0,0
21,00324,A0224,Salmonella osteomyelitis,0,0,0,0,0,0
22,00329,A0225,Salmonella pyelonephritis,10000,1,0,0,0,0
23,00329,A0229,Salmonella with other localized infection,10000,1,0,0,0,0
24,0038,A028,Other specified salmonella infections,0,0,0,0,0,0
25,0039,A029,"Salmonella infection, unspecified",0,0,0,0,0,0
26,0040,A030,Shigellosis due to Shigella dysenteriae,0,0,0,0,0,0
27,0041,A031,Shigellosis due to Shigella flexneri,0,0,0,0,0,0
28,0042,A032,Shigellosis due to Shigella boydii,0,0,0,0,0,0
29,0043,A033,Shigellosis due to Shigella sonnei,0,0,0,0,0,0
30,0048,A038,Other shigellosis,0,0,0,0,0,0
31,0049,A039,"Shigellosis, unspecified",0,0,0,0,0,0
32,00801,A040,Enteropathogenic Escherichia coli infection,0,0,0,0,0,0
33,00802,A041,Enterotoxigenic Escherichia coli infection,0,0,0,0,0,0
34,00803,A042,Enteroinvasive Escherichia coli infection,0,0,0,0,0,0
35,00804,A043,Enterohemorrhagic Escherichia coli infection,0,0,0,0,0,0
36,00800,A044,Other intestinal Escherichia coli infections,10000,1,0,0,0,0
37,00809,A044,Other intestinal Escherichia coli infections,10000,1,0,0,0,0
38,00843,A045,Campylobacter enteritis,0,0,0,0,0,0
39,00844,A046,Enteritis due to Yersinia enterocolitica,0,0,0,0,0,0
40,00845,A047,Enterocolitis due to Clostridium difficile,0,0,0,0,0,0
41,0082,A048,Other specified bacterial intestinal infections,10000,1,0,0,0,0
42,00841,A048,Other specified bacterial intestinal infections,10000,1,0,0,0,0
43,00849,A048,Other specified bacterial intestinal infections,10000,1,0,0,0,0
44,0085,A049,"Bacterial intestinal infection, unspecified",0,0,0,0,0,0
45,0050,A050,Foodborne staphylococcal intoxication,0,0,0,0,0,0
46,0051,A051,Botulism food poisoning,0,0,0,0,0,0
47,0052,A052,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,0,0,0,0,0,0
48,0054,A053,Foodborne Vibrio parahaemolyticus intoxication,0,0,0,0,0,0
49,00589,A054,Foodborne Bacillus cereus intoxication,10000,1,0,0,0,0
50,00581,A055,Foodborne Vibrio vulnificus intoxication,0,0,0,0,0,0
51,00589,A058,Other specified bacterial foodborne intoxications,10000,1,0,0,0,0
52,0059,A059,"Bacterial foodborne intoxication, unspecified",0,0,0,0,0,0
53,0060,A060,Acute amebic dysentery,0,0,0,0,0,0
54,0061,A061,Chronic intestinal amebiasis,0,0,0,0,0,0
55,0062,A062,Amebic nondysenteric colitis,0,0,0,0,0,0
56,0068,A063,Ameboma of intestine,10000,1,0,0,0,0
57,0063,A064,Amebic liver abscess,0,0,0,0,0,0
58,0064,A065,Amebic lung abscess,0,0,0,0,0,0
59,0065,A066,Amebic brain abscess,0,0,0,0,0,0
60,0066,A067,Cutaneous amebiasis,0,0,0,0,0,0
61,0068,A0681,Amebic cystitis,10000,1,0,0,0,0
62,0068,A0682,Other amebic genitourinary infections,10000,1,0,0,0,0
63,0068,A0689,Other amebic infections,10000,1,0,0,0,0
64,0069,A069,"Amebiasis, unspecified",0,0,0,0,0,0
65,0070,A070,Balantidiasis,0,0,0,0,0,0
66,0071,A071,Giardiasis [lambliasis],0,0,0,0,0,0
67,0074,A072,Cryptosporidiosis,0,0,0,0,0,0
