rank,feature,mean_abs_shap,DIAGNOSIS_DESCRIPTION
1,F17,0.0852852314710617,Nicotine dependence
2,E78,0.0819820165634155,Disorders of lipoprotein metabolism and other lipidemias
3,G89,0.0787092968821525,"Pain, not elsewhere classified"
4,Z37,0.0770911499857902,Outcome of delivery
5,F11,0.0596277825534343,Opioid related disorders
6,M54,0.0585430227220058,Dorsalgia
7,F41,0.0380193963646888,Other anxiety disorders
8,J44,0.0378303453326225,Other chronic obstructive pulmonary disease
9,I48,0.0325392708182334,Atrial fibrillation and flutter
10,R10,0.0324647352099418,Abdominal and pelvic pain
11,Z12,0.0296949911862611,Encounter for screening for malignant neoplasms
12,F32,0.0289320852607488,"Major depressive disorder, single episode"
13,I25,0.0239198692142963,Chronic ischemic heart disease
14,J35,0.0226308219134807,Chronic diseases of tonsils and adenoids
15,M79,0.0220222771167755,"Other and unspecified soft tissue disorders, not elsewhere classified"
16,R11,0.0215735528618097,Nausea and vomiting
17,I10,0.0204697344452142,Essential (primary) hypertension
18,K21,0.0202273335307836,Gastro-esophageal reflux disease
19,K57,0.0198869369924068,Diverticular disease of intestine
20,K80,0.0194757580757141,Cholelithiasis
21,N20,0.0160366166383028,Calculus of kidney and ureter
22,F10,0.0150877824053168,Alcohol related disorders
23,K35,0.0148897934705019,Acute appendicitis
24,Z86,0.0145290987566113,Personal history of certain other diseases
25,F31,0.0143496822565793,Bipolar disorder
26,L03,0.013933970592916,Cellulitis and acute lymphangitis
27,E66,0.0134386280551552,Overweight and obesity
28,Z66,0.0127723831683397,Do not resuscitate
29,Z85,0.0121390270069241,Personal history of malignant neoplasm
30,K64,0.011933502741158,Hemorrhoids and perianal venous thrombosis
31,F03,0.0117183299735188,Unspecified dementia
32,Z82,0.0114620579406619,Family history of certain disabilities and chronic diseases (leading to disablement)
33,B19,0.0113547537475824,Unspecified viral hepatitis
34,Z79,0.0108229415491223,Long term (current) drug therapy
35,O99,0.0106953242793679,"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"
36,Z01,0.0104804961010813,"Encounter for other special examination without complaint, suspected or reported diagnosis"
37,N40,0.0102742314338684,Hyperplasia of prostate
38,Z3A,0.009829718619585,Weeks of gestation
39,D62,0.0092303715646266,Acute posthaemorrhagic anaemia
40,B18,0.0092066871002316,Chronic viral hepatitis
41,Z30,0.0084213968366384,Encounter for contraceptive management
42,Z68,0.0083509786054492,Body mass index [BMI]
43,O70,0.0082933260127902,Perineal laceration during delivery
44,R06,0.0082591632381081,Abnormalities of breathing
45,Z95,0.008254581131041,Presence of cardiac and vascular implants and grafts
46,R94,0.0081347543746232,Abnormal results of function studies
47,E03,0.0081187551841139,Other hypothyroidism
48,S42,0.008079576306045,Fracture of shoulder and upper arm
49,F55,0.0080450167879462,Abuse of non-dependence-producing substances
50,J45,0.00796923879534,Asthma
51,C50,0.0079623935744166,Malignant neoplasm of breast
52,R07,0.0079428683966398,Pain in throat and chest
53,S83,0.0078070135787129,Dislocation and sprain of joints and ligaments of knee
54,N92,0.0077070188708603,"Excessive, frequent and irregular menstruation"
55,E13,0.0070500657893717,Other specified diabetes mellitus
56,Z91,0.0069823111407458,"Personal risk factors, not elsewhere classified"
57,D57,0.0068011786788702,Sickle-cell disorders
58,I65,0.0066100959666073,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"
59,S52,0.0065965661779046,Fracture of forearm
60,Z80,0.0062902453355491,Family history of primary malignant neoplasm
61,K63,0.0062350532971322,Other diseases of intestine
62,I70,0.0061160326004028,Atherosclerosis
63,F19,0.0060970522463321,Other psychoactive substance related disorders
64,O09,0.0059970305301249,Supervision of high risk pregnancy
65,R45,0.005932793021202,Symptoms and signs involving emotional state
66,D25,0.0059186527505517,Leiomyoma of uterus
67,Y92,0.0058711506426334,Place of occurrence of the external cause
68,K08,0.0058669527061283,Other disorders of teeth and supporting structures
69,N13,0.005588861182332,Obstructive and reflux uropathy
70,Z53,0.0054356702603399,"Persons encountering health services for specific procedures and treatment, not carried out"
71,N83,0.0054135136306285,"Noninflammatory disorders of ovary, fallopian tube and broad ligament"
72,Z76,0.0054133958183228,Persons encountering health services in other circumstances
73,I49,0.0051754070445895,Other cardiac arrhythmias
74,H26,0.0051389564760029,Other cataract
75,I12,0.0050414251163601,Hypertensive chronic kidney disease
76,N84,0.0050266250036656,Polyp of female genital tract
77,Z51,0.004898780491203,Encounter for other aftercare and medical care
78,I44,0.0048578428104519,Atrioventricular and left bundle-branch block
79,K40,0.0047876853495836,Inguinal hernia
80,Y99,0.0047425497323274,External cause status
81,O80,0.004716950468719,Encounter for full-term uncomplicated delivery
82,M25,0.004706872627139,"Other joint disorder, not elsewhere classified"
83,H65,0.0046586799435317,Nonsuppurative otitis media
84,H25,0.0046409489586949,Age-related cataract
85,R50,0.0046310601755976,Fever of other and unknown origin
86,F02,0.0044889161363244,Dementia in other diseases classified elsewhere
87,I21,0.0044743330217897,ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction
88,K86,0.0044656069949269,Other diseases of pancreas
89,T40,0.0044221309944987,"Poisoning by, adverse effect of and underdosing of narcotics and psychodysleptics [hallucinogens]"
90,A02,0.0044145942665636,Other salmonella infections
91,B20,0.0044086356647312,Human immunodeficiency virus [HIV] disease
92,R41,0.0042660534381866,Other symptoms and signs involving cognitive functions and awareness
93,R00,0.0042613954283297,Abnormalities of heart beat
94,F14,0.0042322385124862,Cocaine related disorders
95,Z02,0.0040669306181371,Encounter for administrative examination
96,S62,0.0040164398960769,Fracture at wrist and hand level
97,Y83,0.003977149259299,"Surgical operation and other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
98,S72,0.0039442875422537,Fracture of femur
99,Z88,0.0039133979007601,"Allergy status to drugs, medicaments and biological substances"
100,N47,0.0039094937965273,Disorders of prepuce
101,F34,0.003724485868588,Persistent mood [affective] disorders
102,Z39,0.0037162047810852,Encounter for maternal postpartum care and examination
103,S82,0.0037061935290694,"Fracture of lower leg, including ankle"
104,Y93,0.0036880257539451,Activity codes
105,K31,0.0036567577626556,Other diseases of stomach and duodenum
106,Z72,0.0036208371166139,Problems related to lifestyle
107,Z34,0.003599650459364,Encounter for supervision of normal pregnancy
108,Z09,0.0035662318114191,Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm
109,Z45,0.0035318012814968,Encounter for adjustment and management of implanted device
110,N39,0.0034996478352695,Other disorders of urinary system
111,K44,0.0033878509420901,Diaphragmatic hernia
112,L97,0.003386900993064,"Non-pressure chronic ulcer of lower limb, not elsewhere classified"
113,Z47,0.003383802017197,Orthopedic aftercare
114,I46,0.0033834639471024,Cardiac arrest
115,H66,0.0033739830832928,Suppurative and unspecified otitis media
116,K81,0.003324439516291,Cholecystitis
117,D12,0.0033209540415555,"Benign neoplasm of colon, rectum, anus and anal canal"
118,K50,0.0033181896433234,Crohn's disease [regional enteritis]
119,R60,0.0033178455196321,"Edema, not elsewhere classified"
120,I34,0.0032876499462872,Nonrheumatic mitral valve disorders
121,J02,0.003261073725298,Acute pharyngitis
122,J32,0.0032296699937433,Chronic sinusitis
123,J34,0.0031916100997477,Other and unspecified disorders of nose and nasal sinuses
124,I35,0.0031915835570544,Nonrheumatic aortic valve disorders
125,E04,0.0031614669132977,Other nontoxic goiter
126,R62,0.0031277993693947,Lack of expected normal physiological development in childhood and adults
127,C61,0.003116836072877,Malignant neoplasm of prostate
128,K42,0.0030973111279308,Umbilical hernia
129,H90,0.0030810628086328,Conductive and sensorineural hearing loss
130,I22,0.0030745810363441,Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction
131,G47,0.0030709239654242,Sleep disorders
132,C18,0.0030455312225967,Malignant neoplasm of colon
133,M10,0.0030387297738343,Gout
134,G43,0.0030255555175244,Migraine
135,F43,0.0030199694447219,"Reaction to severe stress, and adjustment disorders"
136,N17,0.0030040219426155,Acute kidney failure
137,H40,0.0029760266188532,Glaucoma
138,M75,0.0029593545477837,Shoulder lesions
139,L98,0.0029366523958742,"Other disorders of skin and subcutaneous tissue, not elsewhere classified"
140,F33,0.0029302190523594,"Major depressive disorder, recurrent"
141,I71,0.0028960818890482,Aortic aneurysm and dissection
142,N99,0.0028710009064525,"Intraoperative and postprocedural complications and disorders of genitourinary system, not elsewhere classified"
143,C34,0.0028355855029076,Malignant neoplasm of bronchus and lung
144,J91,0.0028186088893562,Pleural effusion in conditions classified elsewhere
145,S43,0.002811609301716,Dislocation and sprain of joints and ligaments of shoulder girdle
146,O48,0.0027986548375338,Late pregnancy
147,R42,0.0027688471600413,Dizziness and giddiness
148,R56,0.0027532924432307,"Convulsions, not elsewhere classified"
149,M06,0.0027520526200532,Other rheumatoid arthritis
150,Z89,0.0027430972550064,Acquired absence of limb
151,C78,0.0027430460322648,Secondary malignant neoplasm of respiratory and digestive organs
152,G30,0.0027334780897945,Alzheimer's disease
153,M65,0.0027309383731335,Synovitis and tenosynovitis
154,I47,0.0027068522758781,Paroxysmal tachycardia
155,J30,0.002672808477655,Vasomotor and allergic rhinitis
156,Z94,0.0026371332351118,Transplanted organ and tissue status
157,R13,0.0025968495756387,Aphagia and dysphagia
158,M23,0.0025925335939973,Internal derangement of knee
159,E10,0.0025631343014538,Type 1 diabetes mellitus
160,D17,0.0025615026243031,Benign lipomatous neoplasm
161,N93,0.0025400407612323,Other abnormal uterine and vaginal bleeding
162,F84,0.0025382991880178,Pervasive developmental disorders
163,C54,0.0024928860366344,Malignant neoplasm of corpus uteri
164,G91,0.0024735569022595,Hydrocephalus
165,V85,0.0023969551548361,Occupant of special construction vehicle injured in transport accident
166,N60,0.0023947721347212,Benign mammary dysplasia
167,R52,0.0023895201738923,"Pain, unspecified"
168,D05,0.002386659849435,Carcinoma in situ of breast
169,I42,0.0023586100433021,Cardiomyopathy
170,I20,0.002342517953366,Angina pectoris
171,Z99,0.0023197575937956,"Dependence on enabling machines and devices, not elsewhere classified"
172,J96,0.0022801412269473,"Respiratory failure, not elsewhere classified"
173,M17,0.0022553489543497,Osteoarthritis of knee
174,K56,0.002229199046269,Paralytic ileus and intestinal obstruction without hernia
175,D69,0.0022249862086027,Purpura and other hemorrhagic conditions
176,F15,0.0022042794153094,Other stimulant related disorders
177,G82,0.0021321321837604,Paraplegia (paraparesis) and quadriplegia (quadriparesis)
178,A41,0.0021254506427794,Other sepsis
179,S59,0.0020985091105103,Other and unspecified injuries of elbow and forearm
180,X58,0.0020878540817648,Exposure to other specified factors
181,D24,0.0020727096125483,Benign neoplasm of breast
182,Z23,0.0020682828035205,Encounter for immunization
183,T50,0.0020489708986133,"Poisoning by, adverse effect of and underdosing of diuretics and other and unspecified drugs, medicaments and biological substances"
184,M51,0.002048872411251,"Thoracic, thoracolumbar, and lumbosacral intervertebral disc disorders"
185,D72,0.0020476023200899,Other disorders of white blood cells
186,M67,0.0020091854967176,Other disorders of synovium and tendon
187,O34,0.0020031726453453,Maternal care for abnormality of pelvic organs
188,E87,0.0019830833189189,"Other disorders of fluid, electrolyte and acid-base balance"
189,N18,0.0019514826126396,Chronic kidney disease (CKD)
190,R09,0.0019312582444399,Other symptoms and signs involving the circulatory and respiratory system
191,O02,0.0019153843168169,Other abnormal products of conception
192,G40,0.001897404436022,Epilepsy and recurrent seizures
193,M20,0.0018971872050315,Acquired deformities of fingers and toes
194,H69,0.0018935604020953,Other and unspecified disorders of Eustachian tube
195,M19,0.001873007742688,Other and unspecified osteoarthritis
196,F06,0.0018523395992815,Other mental disorders due to known physiological condition
197,H91,0.0018380763940513,Other and unspecified hearing loss
198,C44,0.00178375816904,Other and unspecified malignant neoplasm of skin
199,Z90,0.00178033253178,"Acquired absence of organs, not elsewhere classified"
200,N85,0.0017627788474783,"Other noninflammatory disorders of uterus, except cervix"
201,N81,0.0017462538089603,Female genital prolapse
202,G60,0.0017443111864849,Hereditary and idiopathic neuropathy
203,I63,0.0017323339125141,Cerebral infarction
204,Z33,0.001716164057143,Pregnant state
205,I50,0.0016992393648251,Heart failure
206,R26,0.0016838272567838,Abnormalities of gait and mobility
207,N28,0.0016640138346701,"Other disorders of kidney and ureter, not elsewhere classified"
208,H50,0.0016625249991193,Other strabismus
209,Z83,0.0015955994604155,Family history of other specific disorders
210,I08,0.0015948426444083,Multiple valve diseases
211,J03,0.0015879311831668,Acute tonsillitis
212,W09,0.0015869559720158,Fall on and from playground equipment
213,M32,0.0015710109146311,Systemic lupus erythematosus (SLE)
214,R59,0.0015654959715902,Enlarged lymph nodes
215,K29,0.0015632531139999,Gastritis and duodenitis
216,I11,0.0015316170174628,Hypertensive heart disease
217,Z93,0.0015251733129844,Artificial opening status
218,F79,0.0015193086583167,Unspecified intellectual disabilities
219,I61,0.0015064741019159,Nontraumatic intracerebral hemorrhage
220,J95,0.0014749673428013,"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified"
221,N32,0.0014670768287032,Other disorders of bladder
222,S01,0.0014640163863077,Open wound of head
223,J90,0.0014628417557105,"Pleural effusion, not elsewhere classified"
224,C71,0.0014503691345453,Malignant neoplasm of brain
225,S06,0.0014477521181106,Intracranial injury
226,D64,0.0014414932811632,Other anemias
227,S32,0.0014392344746738,Fracture of lumbar spine and pelvis
228,V49,0.0014329572441056,Car occupant injured in other and unspecified transport accidents
229,N95,0.0014182546874508,Menopausal and other perimenopausal disorders
230,O69,0.0014134864322841,Labor and delivery complicated by umbilical cord complications
231,M96,0.0014119000406935,"Intraoperative and postprocedural complications and disorders of musculoskeletal system, not elsewhere classified"
232,Z78,0.001399366185069,Other specified health status
233,Z98,0.0013866301160305,Other postprocedural states
234,O90,0.0013607688015326,"Complications of the puerperium, not elsewhere classified"
235,H33,0.0013428563252091,Retinal detachments and breaks
236,O14,0.0013391703832894,Pre-eclampsia
237,R92,0.0013132155872881,Abnormal and inconclusive findings on diagnostic imaging of breast
