rank,feature,coef,abs_coef
1,F11,8.800228,8.800228
2,Z37,-1.3659258,1.3659258
3,F19,1.3423814,1.3423814
4,F55,1.3017975,1.3017975
5,J35,-1.0074173,1.0074173
6,K35,-1.0002846,1.0002846
7,G89,0.9929882,0.9929882
8,Z76,0.94550854,0.94550854
9,Z12,-0.89064246,0.89064246
10,D57,0.88462734,0.88462734
11,B19,0.8293566,0.8293566
12,Z02,0.82586205,0.82586205
13,B18,0.80820715,0.80820715
14,T40,0.79451054,0.79451054
15,B20,0.7908091,0.7908091
16,K80,-0.6816674,0.6816674
17,F03,-0.6420681,0.6420681
18,O09,0.6417786,0.6417786
19,Z30,-0.58354753,0.58354753
20,F13,0.5732263,0.5732263
21,S83,-0.5653021,0.5653021
22,F31,0.5564324,0.5564324
23,N20,-0.55586886,0.55586886
24,N92,-0.5370809,0.5370809
25,C50,-0.5367452,0.5367452
26,A02,-0.5366527,0.5366527
27,F33,0.5298504,0.5298504
28,S52,-0.52950287,0.52950287
29,M96,0.528436,0.528436
30,A05,0.52839327,0.52839327
31,Z3A,-0.527278,0.527278
32,D25,-0.52215606,0.52215606
33,S42,-0.5193057,0.5193057
34,K86,0.5139082,0.5139082
35,H25,-0.50958383,0.50958383
36,N47,-0.50876814,0.50876814
37,Z66,-0.50808114,0.50808114
38,H26,-0.50529486,0.50529486
39,O99,0.50453526,0.50453526
40,Z39,-0.50376266,0.50376266
41,O35,0.50372255,0.50372255
42,J34,-0.5035479,0.5035479
43,Z47,-0.50326383,0.50326383
44,H65,-0.5019364,0.5019364
45,H90,-0.5019016,0.5019016
46,N84,-0.5017822,0.5017822
47,F34,0.50071365,0.50071365
48,F39,0.49845335,0.49845335
49,O02,-0.49655545,0.49655545
50,B17,0.49185035,0.49185035
51,H66,-0.48800966,0.48800966
52,K57,-0.48131144,0.48131144
53,N83,-0.48094705,0.48094705
54,I65,-0.4765137,0.4765137
55,N60,-0.4752685,0.4752685
56,C54,-0.47292367,0.47292367
57,Z45,-0.47187883,0.47187883
58,F14,0.47057343,0.47057343
59,E04,-0.46833736,0.46833736
60,O70,-0.4679731,0.4679731
61,R45,0.46783704,0.46783704
62,D17,-0.4588151,0.4588151
63,I70,-0.45864886,0.45864886
64,Z53,0.4568681,0.4568681
65,K40,-0.45633703,0.45633703
66,F02,-0.45340294,0.45340294
67,G30,-0.44951513,0.44951513
68,G82,0.44852254,0.44852254
69,K50,0.44588122,0.44588122
70,F69,0.44498238,0.44498238
71,S59,-0.44490808,0.44490808
72,Z01,-0.44472504,0.44472504
73,F17,0.4434257,0.4434257
74,I48,-0.44330752,0.44330752
75,K42,-0.44072846,0.44072846
76,K64,-0.43882608,0.43882608
77,S43,-0.43384302,0.43384302
78,K08,0.43110836,0.43110836
79,I21,-0.43074918,0.43074918
80,W21,-0.42299807,0.42299807
81,J03,-0.41737595,0.41737595
82,G91,-0.41695833,0.41695833
83,M20,-0.41502842,0.41502842
84,M67,-0.41388118,0.41388118
85,M23,-0.41367713,0.41367713
86,E78,-0.4051114,0.4051114
87,K31,0.4018528,0.4018528
88,N81,-0.3957969,0.3957969
89,K81,-0.39130944,0.39130944
90,F15,0.38945946,0.38945946
91,S62,-0.38759172,0.38759172
92,S82,-0.38136318,0.38136318
93,F32,0.379533,0.379533
94,M65,-0.3769701,0.3769701
95,V85,-0.3718842,0.3718842
96,F10,0.37023968,0.37023968
97,M75,-0.36552423,0.36552423
98,Z09,-0.36397082,0.36397082
99,N93,-0.36079755,0.36079755
100,E10,0.3586348,0.3586348
101,C61,-0.35848185,0.35848185
102,F84,-0.3575103,0.3575103
103,J30,-0.35619402,0.35619402
104,S72,-0.35437113,0.35437113
105,J44,0.34981167,0.34981167
106,K63,-0.3479941,0.3479941
107,C18,-0.34466833,0.34466833
108,N40,-0.3437566,0.3437566
109,O80,-0.34348562,0.34348562
110,I46,-0.33825758,0.33825758
111,H50,-0.33688173,0.33688173
112,F41,0.33382103,0.33382103
113,R92,-0.32900974,0.32900974
114,L03,0.32818955,0.32818955
115,R94,-0.3278445,0.3278445
116,J02,-0.3226962,0.3226962
117,Y99,0.32228372,0.32228372
118,R62,-0.32105008,0.32105008
119,Z82,-0.31529546,0.31529546
120,J32,-0.31251848,0.31251848
121,I20,-0.31243652,0.31243652
122,F25,0.3123101,0.3123101
123,N13,-0.30926448,0.30926448
124,C34,-0.29643515,0.29643515
125,M54,0.2963322,0.2963322
126,F06,-0.2881862,0.2881862
127,I49,-0.2876621,0.2876621
128,C71,-0.2858188,0.2858188
129,I44,-0.28082126,0.28082126
130,J91,-0.2787988,0.2787988
131,Z21,0.2721729,0.2721729
132,O03,-0.26828974,0.26828974
133,G60,0.26708475,0.26708475
134,E29,0.26626998,0.26626998
135,H69,-0.26621354,0.26621354
136,Z89,0.2661798,0.2661798
137,Z11,0.2653188,0.2653188
138,I71,-0.26509002,0.26509002
139,N85,-0.26489213,0.26489213
140,G90,0.2644007,0.2644007
141,G80,-0.26408198,0.26408198
142,D12,-0.2640542,0.2640542
143,C22,-0.26393855,0.26393855
144,D62,-0.26336718,0.26336718
145,F48,0.26328638,0.26328638
146,C78,-0.26218462,0.26218462
147,V49,-0.26149276,0.26149276
148,N62,-0.26111156,0.26111156
149,N95,-0.26104584,0.26104584
150,O34,-0.26084784,0.26084784
151,R97,-0.26081178,0.26081178
152,N99,-0.26074985,0.26074985
153,D05,-0.26055324,0.26055324
154,I35,-0.26008078,0.26008078
155,I33,0.25981683,0.25981683
156,W09,-0.25972047,0.25972047
157,C73,-0.25929484,0.25929484
158,H33,-0.25901866,0.25901866
159,C67,-0.25808907,0.25808907
160,O00,-0.25785926,0.25785926
161,C44,-0.25784802,0.25784802
162,L72,-0.25779548,0.25779548
163,O48,-0.2576567,0.2576567
164,Z78,-0.25693262,0.25693262
165,K01,-0.25633258,0.25633258
166,I34,-0.25627613,0.25627613
167,N64,-0.25627106,0.25627106
168,O98,0.2561581,0.2561581
169,M24,-0.2559313,0.2559313
170,R11,0.25570226,0.25570226
171,H40,-0.2550885,0.2550885
172,O69,-0.25502327,0.25502327
173,V00,-0.25484774,0.25484774
174,D49,-0.254652,0.254652
175,B34,-0.254455,0.254455
176,I88,-0.25432625,0.25432625
177,N97,-0.2543202,0.2543202
178,X50,-0.2540637,0.2540637
179,M32,0.25369385,0.25369385
180,C91,-0.25361308,0.25361308
181,Q53,-0.2535723,0.2535723
182,N35,-0.2531558,0.2531558
183,D24,-0.2531317,0.2531317
184,H91,-0.25303638,0.25303638
185,D03,-0.2529971,0.2529971
186,L05,-0.2529779,0.2529779
187,I62,-0.25296578,0.25296578
188,K61,-0.25295037,0.25295037
189,D23,-0.2528819,0.2528819
190,S53,-0.25273782,0.25273782
191,N43,-0.25270858,0.25270858
192,F79,-0.25259858,0.25259858
193,K82,-0.25259796,0.25259796
194,I22,-0.25247708,0.25247708
195,N87,-0.2524141,0.2524141
196,D06,-0.25189593,0.25189593
197,E21,-0.25187108,0.25187108
198,K73,0.25181347,0.25181347
199,L84,0.25165147,0.25165147
200,F80,-0.2515358,0.2515358
201,K37,-0.25130138,0.25130138
202,D27,-0.25116885,0.25116885
203,B86,0.25089583,0.25089583
204,D22,-0.2508025,0.2508025
205,G97,-0.25074664,0.25074664
206,S63,-0.25068825,0.25068825
207,N63,-0.25067604,0.25067604
208,E28,-0.25060415,0.25060415
209,I61,-0.25024173,0.25024173
210,Y08,0.25000003,0.25000003
211,Q54,-0.24974138,0.24974138
212,Z77,-0.24881949,0.24881949
213,O86,-0.24857731,0.24857731
214,O24,-0.24845664,0.24845664
215,T23,-0.24775228,0.24775228
216,O14,-0.24743669,0.24743669
217,G59,0.24696033,0.24696033
218,O62,-0.24590376,0.24590376
219,N23,-0.2453524,0.2453524
220,L97,0.24479619,0.24479619
221,M15,0.24319719,0.24319719
222,R41,0.24150106,0.24150106
223,Q66,-0.24145089,0.24145089
224,M21,-0.24021883,0.24021883
225,Z94,-0.24010207,0.24010207
226,G21,-0.24002354,0.24002354
227,R52,0.23979051,0.23979051
228,C53,0.23970872,0.23970872
229,K60,-0.23966593,0.23966593
230,H72,-0.23940633,0.23940633
231,H35,-0.23725398,0.23725398
232,G56,-0.23711976,0.23711976
233,T63,-0.23464173,0.23464173
234,N32,-0.23402278,0.23402278
235,C77,-0.23317821,0.23317821
236,Z80,-0.23302571,0.23302571
237,I08,-0.2325302,0.2325302
238,Z93,0.23252091,0.23252091
239,M22,-0.23122256,0.23122256
240,N94,-0.23083553,0.23083553
241,Z85,-0.22799575,0.22799575
242,C49,-0.22508715,0.22508715
243,F22,0.2247122,0.2247122
244,L98,0.22470047,0.22470047
245,Y04,0.22394463,0.22394463
246,V86,-0.22190744,0.22190744
247,C83,-0.22141394,0.22141394
248,S01,-0.22083393,0.22083393
249,M43,-0.2191744,0.2191744
250,R56,0.21864611,0.21864611
251,Y83,-0.21850267,0.21850267
252,D18,-0.21723783,0.21723783
253,V19,-0.21709383,0.21709383
254,S68,-0.21700484,0.21700484
255,T50,0.21587576,0.21587576
256,R59,-0.21570794,0.21570794
257,J93,-0.21473911,0.21473911
258,J36,-0.21456113,0.21456113
259,Z56,-0.21422592,0.21422592
260,T07,0.21297927,0.21297927
261,K91,0.2115328,0.2115328
262,R44,0.21124506,0.21124506
263,Q21,-0.21122028,0.21122028
264,O90,-0.21089086,0.21089086
265,F43,0.21071686,0.21071686
266,S89,-0.20984344,0.20984344
267,Y93,-0.20950344,0.20950344
268,N16,0.20882137,0.20882137
269,S27,-0.2083745,0.2083745
270,C64,-0.20687765,0.20687765
271,T80,0.20525777,0.20525777
272,R60,0.20522031,0.20522031
273,I25,-0.20453948,0.20453948
274,M06,0.2044059,0.2044059
275,I47,-0.20376626,0.20376626
276,I67,-0.20279494,0.20279494
277,D32,-0.20253865,0.20253865
278,Z33,0.20166826,0.20166826
279,M90,0.20133756,0.20133756
280,X58,-0.20066167,0.20066167
281,R87,-0.19972216,0.19972216
282,Z51,-0.19874994,0.19874994
283,H02,-0.19523177,0.19523177
284,S06,-0.19522212,0.19522212
285,J90,-0.19114877,0.19114877
286,M79,0.19094646,0.19094646
287,M72,-0.18975148,0.18975148
288,J40,0.18956599,0.18956599
289,M10,-0.18809113,0.18809113
290,Z86,0.18679039,0.18679039
291,L90,-0.18465954,0.18465954
292,Z81,-0.18278767,0.18278767
293,S92,-0.18232839,0.18232839
294,D69,-0.18153355,0.18153355
295,R22,-0.18116494,0.18116494
296,F29,0.18061228,0.18061228
297,I11,-0.18058123,0.18058123
298,C25,-0.18053648,0.18053648
299,R26,-0.18040402,0.18040402
300,N73,-0.17959213,0.17959213
301,R49,-0.1790326,0.1790326
302,J43,0.17842108,0.17842108
303,O26,0.17824118,0.17824118
304,S32,-0.1781842,0.1781842
305,K56,-0.17733414,0.17733414
306,R42,-0.17699508,0.17699508
307,R13,-0.17503934,0.17503934
308,K21,-0.1740436,0.1740436
309,M17,-0.17402253,0.17402253
310,D16,-0.1706391,0.1706391
311,J11,-0.17060806,0.17060806
312,R50,-0.1705876,0.1705876
313,I85,-0.17021455,0.17021455
314,T42,0.1701146,0.1701146
315,Y90,-0.16924,0.16924
316,Z23,-0.16839801,0.16839801
317,K44,-0.16799822,0.16799822
318,O76,-0.16662544,0.16662544
319,N28,-0.16635035,0.16635035
320,G31,-0.16613826,0.16613826
321,G57,0.16525936,0.16525936
322,M86,0.16414061,0.16414061
323,K87,0.16390495,0.16390495
324,I97,0.16212061,0.16212061
325,Z20,0.15806364,0.15806364
326,Z99,0.1580255,0.1580255
327,J10,-0.1571543,0.1571543
328,Z72,0.15657072,0.15657072
329,R80,-0.15638089,0.15638089
330,H92,-0.15455693,0.15455693
331,O47,-0.1533379,0.1533379
332,I42,-0.15305322,0.15305322
333,E66,-0.1523351,0.1523351
334,F45,0.15215501,0.15215501
335,V43,-0.15203406,0.15203406
336,I63,-0.15194146,0.15194146
337,J45,0.1481142,0.1481142
338,K04,0.1478585,0.1478585
339,K75,-0.14782116,0.14782116
340,W23,-0.14771402,0.14771402
341,T82,-0.14715528,0.14715528
342,J95,-0.14680858,0.14680858
343,D48,-0.14550589,0.14550589
344,G93,-0.14385088,0.14385088
345,I31,-0.14373255,0.14373255
346,E07,-0.14370573,0.14370573
347,C80,-0.14289795,0.14289795
348,O42,-0.14100954,0.14100954
349,N10,-0.14099357,0.14099357
350,W51,-0.1406711,0.1406711
351,L91,-0.14062744,0.14062744
352,V89,-0.13932565,0.13932565
353,C86,-0.13865729,0.13865729
354,M16,-0.13796571,0.13796571
355,H81,-0.1375561,0.1375561
356,G35,0.13717449,0.13717449
357,G43,0.13709947,0.13709947
358,L08,0.13688408,0.13688408
359,O21,0.13681489,0.13681489
360,R10,0.13637248,0.13637248
361,R01,-0.13601184,0.13601184
362,S02,-0.13588262,0.13588262
363,I89,0.1353892,0.1353892
364,Z16,0.13512555,0.13512555
365,R20,-0.13506582,0.13506582
366,S70,0.13473162,0.13473162
367,S61,-0.13460301,0.13460301
368,R93,-0.13444275,0.13444275
369,R12,-0.13429141,0.13429141
370,S86,-0.13403265,0.13403265
371,C43,-0.13401012,0.13401012
372,J38,-0.13400754,0.13400754
373,V80,-0.1338746,0.1338746
374,J05,-0.13380992,0.13380992
375,I77,-0.13374798,0.13374798
376,K43,-0.13357157,0.13357157
377,N21,-0.13352554,0.13352554
378,R27,-0.13350174,0.13350174
379,J33,-0.13340136,0.13340136
380,Z52,-0.13318095,0.13318095
381,H43,-0.13308148,0.13308148
382,Q24,-0.13283202,0.13283202
383,M77,-0.13278218,0.13278218
384,R76,0.1326063,0.1326063
385,M71,-0.13252386,0.13252386
386,V09,0.1321887,0.1321887
387,B08,-0.13210903,0.13210903
388,K85,0.1319153,0.1319153
389,O13,-0.13187325,0.13187325
390,C92,-0.1315171,0.1315171
391,W31,-0.13107269,0.13107269
392,N44,-0.13105665,0.13105665
393,W17,-0.131037,0.131037
394,K28,0.13103002,0.13103002
395,Z63,-0.1309986,0.1309986
396,T24,-0.13097905,0.13097905
397,T22,-0.1307778,0.1307778
398,Q55,-0.13077402,0.13077402
399,T34,0.13052441,0.13052441
400,M66,-0.1304677,0.1304677
401,K65,-0.1301507,0.1301507
402,M87,0.13009623,0.13009623
403,I38,0.1300916,0.1300916
404,K77,-0.13007317,0.13007317
405,V78,0.12993039,0.12993039
406,K62,-0.1298497,0.1298497
407,T18,-0.12981889,0.12981889
408,O72,-0.12947246,0.12947246
409,M99,0.12919292,0.12919292
410,N88,-0.12917326,0.12917326
411,Q25,-0.1290978,0.1290978
412,C56,-0.12905578,0.12905578
413,N61,-0.12905057,0.12905057
414,Z03,0.12893483,0.12893483
415,F60,0.12879068,0.12879068
416,K00,-0.12866981,0.12866981
417,Q89,-0.12864517,0.12864517
418,A09,-0.12856124,0.12856124
419,L88,0.12847844,0.12847844
420,M93,-0.12846519,0.12846519
421,R09,-0.12845834,0.12845834
422,Q67,-0.12845321,0.12845321
423,E84,0.12842615,0.12842615
424,Q37,-0.12812765,0.12812765
425,Z00,-0.12810995,0.12810995
426,D21,-0.12804589,0.12804589
427,R40,0.12789038,0.12789038
428,W20,-0.12778054,0.12778054
429,W54,-0.12773544,0.12773544
430,N70,-0.1277146,0.1277146
431,Z97,-0.12770484,0.12770484
432,T25,-0.12769166,0.12769166
433,C85,-0.12768489,0.12768489
434,W11,-0.1275514,0.1275514
435,A04,0.1274604,0.1274604
436,Q90,-0.12743941,0.12743941
437,H04,-0.12740615,0.12740615
438,Z71,-0.12736687,0.12736687
439,V87,-0.12721388,0.12721388
440,H61,-0.12720665,0.12720665
441,R54,-0.12708932,0.12708932
442,I37,-0.12708074,0.12708074
443,R32,-0.12705682,0.12705682
444,I60,-0.12703545,0.12703545
445,I96,-0.12696216,0.12696216
446,Q23,-0.12689926,0.12689926
447,C15,-0.12669176,0.12669176
448,O30,-0.12668745,0.12668745
449,R17,-0.12667017,0.12667017
450,N72,-0.12657224,0.12657224
451,Z31,-0.12655896,0.12655896
452,J81,-0.12655143,0.12655143
453,F01,-0.1265066,0.1265066
454,T85,-0.12650225,0.12650225
455,K83,-0.12649535,0.12649535
456,I16,-0.12646334,0.12646334
457,K66,-0.1264277,0.1264277
458,M34,0.12639007,0.12639007
459,J31,-0.12637925,0.12637925
460,Z64,-0.12634642,0.12634642
461,Z41,-0.12626037,0.12626037
462,M85,-0.12622918,0.12622918
463,N90,-0.12606941,0.12606941
464,W46,0.12602326,0.12602326
465,G14,0.12598044,0.12598044
466,Z62,-0.12596197,0.12596197
467,N36,-0.12593041,0.12593041
468,E01,-0.12591971,0.12591971
469,L20,-0.12579796,0.12579796
470,D34,-0.12572294,0.12572294
471,Z08,-0.12570147,0.12570147
472,D13,-0.12566096,0.12566096
473,V29,-0.125656,0.125656
474,Q38,-0.12561129,0.12561129
475,S46,-0.12560481,0.12560481
476,B27,-0.12554695,0.12554695
477,Q18,-0.12549587,0.12549587
478,E65,-0.12540588,0.12540588
479,S93,-0.12537245,0.12537245
480,T21,-0.12531263,0.12531263
481,D75,-0.12527713,0.12527713
482,E89,0.12520148,0.12520148
483,G51,-0.12503245,0.12503245
484,B99,0.12500095,0.12500095
485,E24,0.12500009,0.12500009
486,X95,-0.12487616,0.12487616
487,A64,0.124621004,0.124621004
488,S96,-0.12432414,0.12432414
489,Z48,-0.12402701,0.12402701
490,D14,-0.123932004,0.123932004
491,L40,0.12364988,0.12364988
492,R30,0.123379774,0.123379774
493,F99,0.1233767,0.1233767
494,A69,0.123353586,0.123353586
495,C24,-0.12282055,0.12282055
496,J84,-0.12272146,0.12272146
497,T32,-0.122421816,0.122421816
498,S34,0.12228187,0.12228187
499,Q28,-0.12188689,0.12188689
500,W34,-0.12172365,0.12172365
501,R00,-0.121563874,0.121563874
502,S12,-0.12155774,0.12155774
503,L57,-0.12101815,0.12101815
504,B59,-0.1208456,0.1208456
505,R31,-0.12062803,0.12062803
506,C16,-0.11977125,0.11977125
507,E22,-0.11925761,0.11925761
508,J06,-0.119081095,0.119081095
509,Q62,-0.118785866,0.118785866
510,N25,-0.118570834,0.118570834
511,M95,-0.11827618,0.11827618
512,E03,-0.11822275,0.11822275
513,D35,-0.11805468,0.11805468
514,R69,-0.11782923,0.11782923
515,Z83,-0.11780034,0.11780034
516,Z91,0.11759313,0.11759313
517,B97,-0.117315635,0.117315635
518,Q35,-0.11725964,0.11725964
519,Z17,-0.11711437,0.11711437
520,W29,-0.117055185,0.117055185
521,R21,0.116800025,0.116800025
522,M19,-0.116626956,0.116626956
523,M94,-0.116275154,0.116275154
524,G81,-0.11615552,0.11615552
525,E06,-0.1156881,0.1156881
