ICD10_3Digits,n_encounters_with_dx,score_abs,score_sq,DIAGNOSIS_DESCRIPTION
I10,5144547,124752.503128,74928.918896,Essential (primary) hypertension
R10,3340879,97272.080686,76303.221809,Abdominal and pelvic pain
Z79,3038411,79083.282927,49695.145985,Long term (current) drug therapy
M54,2080604,75820.441247,64762.114942,Dorsalgia
F17,1873198,74407.239983,57168.758647,Nicotine dependence
F11,77212,61735.522054,53738.262348,Opioid related disorders
E78,3136503,61368.843927,27188.741534,Disorders of lipoprotein metabolism and other lipidemias
G89,798372,51539.242291,46340.513466,"Pain, not elsewhere classified"
R07,1854994,50694.635647,34844.515336,Pain in throat and chest
I25,2134606,48122.509463,24567.647935,Chronic ischemic heart disease
E87,1453800,44999.479963,30131.406558,"Other disorders of fluid, electrolyte and acid-base balance"
J44,1256597,44809.786464,36731.479971,Other chronic obstructive pulmonary disease
E13,1653166,43848.066824,30419.021818,Other specified diabetes mellitus
F41,992215,40720.949493,31898.586162,Other anxiety disorders
R11,1258987,37912.254025,29223.046494,Nausea and vomiting
M79,1332809,37738.981928,25793.689929,"Other and unspecified soft tissue disorders, not elsewhere classified"
F32,884700,35738.912715,27179.474338,"Major depressive disorder, single episode"
K21,1606850,35559.609791,19138.415424,Gastro-esophageal reflux disease
M25,1492411,35503.954014,20600.642301,"Other joint disorder, not elsewhere classified"
E11,1285537,34583.836807,22128.564786,Type 2 diabetes mellitus
I50,1296940,34048.132882,20614.597367,Heart failure
Z87,1552273,33999.971456,17935.46606,Personal history of other diseases and conditions
Z86,1174583,31947.391197,20776.954405,Personal history of certain other diseases
R06,1230375,30896.886275,18657.634911,Abnormalities of breathing
N18,1178854,29285.399414,17278.081024,Chronic kidney disease (CKD)
F10,442467,27631.59421,26583.538253,Alcohol related disorders
E66,1222632,27305.529676,15113.156983,Overweight and obesity
Z88,825709,26340.037327,20393.749823,"Allergy status to drugs, medicaments and biological substances"
I48,1246211,26025.172829,11017.703723,Atrial fibrillation and flutter
J45,877304,25956.983071,18918.230363,Asthma
Y92,1217349,25554.237117,12746.800381,Place of occurrence of the external cause
N39,1103430,25507.253763,13954.217783,Other disorders of urinary system
L03,612441,25163.253659,20374.283523,Cellulitis and acute lymphangitis
D64,1015334,22614.033666,11299.804518,Other anemias
E03,1014440,22393.557104,12009.128753,Other hypothyroidism
Z95,1012947,21479.53364,10310.850035,Presence of cardiac and vascular implants and grafts
Z98,1024259,21344.958192,10954.255952,Other postprocedural states
R51,802259,19253.624612,11921.515136,Headache
G47,812408,19172.639347,10544.53506,Sleep disorders
N17,707798,18567.470968,10860.834124,Acute kidney failure
Z68,844124,18329.125004,9309.690215,Body mass index [BMI]
Z91,516861,18249.583976,12820.880357,"Personal risk factors, not elsewhere classified"
J96,538072,17558.088547,11898.296939,"Respiratory failure, not elsewhere classified"
O99,498006,16729.819824,13231.557486,"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"
J18,549473,15775.390535,9976.226079,"Pneumonia, unspecified organism"
Z85,782856,15581.764299,7557.190929,Personal history of malignant neoplasm
F31,228593,15405.12656,14177.96464,Bipolar disorder
I12,708377,15369.62428,8205.554506,Hypertensive chronic kidney disease
E86,593111,15065.558566,8424.098367,Volume depletion
R00,689199,14995.123283,7197.581091,Abnormalities of heart beat
R53,696980,14801.982329,7227.972431,Malaise and fatigue
F19,68903,14750.125379,13050.941255,Other psychoactive substance related disorders
K59,550608,14117.119777,8046.8105,Other functional intestinal disorders
R19,608324,13429.643503,6864.070046,Other symptoms and signs involving the digestive system and abdomen
A41,427480,12722.72394,7806.492814,Other sepsis
Z90,563690,12566.147916,6905.359797,"Acquired absence of organs, not elsewhere classified"
Z12,820314,11658.250573,2145.57507,Encounter for screening for malignant neoplasms
R45,137027,11653.930422,10485.607,Symptoms and signs involving emotional state
R41,316718,11283.890337,7709.57943,Other symptoms and signs involving cognitive functions and awareness
Z01,737713,11168.873997,3376.381727,"Encounter for other special examination without complaint, suspected or reported diagnosis"
N20,562987,11015.996383,4260.789201,Calculus of kidney and ureter
B19,130665,10922.490937,9117.15414,Unspecified viral hepatitis
Z99,374259,10657.131646,6920.269033,"Dependence on enabling machines and devices, not elsewhere classified"
Z34,530157,10357.331324,4823.067886,Encounter for supervision of normal pregnancy
G40,289071,10321.419143,7510.830101,Epilepsy and recurrent seizures
M51,352844,10176.826206,6667.653227,"Thoracic, thoracolumbar, and lumbosacral intervertebral disc disorders"
E83,359433,10143.343609,6090.153499,Disorders of mineral metabolism
M19,500467,10097.405858,4858.885159,Other and unspecified osteoarthritis
D57,127214,10070.179603,14029.852529,Sickle-cell disorders
R05,494898,9493.813691,4131.256825,Cough
G43,304628,9364.474727,6835.979956,Migraine
R50,435505,9263.677936,4296.737944,Fever of other and unknown origin
Z96,419845,9036.980128,4499.090802,Presence of other functional implants
D72,350759,8889.748077,4769.943842,Other disorders of white blood cells
F14,68152,8758.877266,7196.407896,Cocaine related disorders
