ICD10_3Digits,n_patients_with_dx,sum_f_pos,sum_f_neg,mean_f_pos,mean_f_neg,score_diff,score_ratio,DIAGNOSIS_DESCRIPTION
F11,67565,70486,33,0.51447,3e-06,0.514467,181277.103666,Opioid related disorders
F17,1368519,55337,1728251,0.403899,0.148579,0.25532,2.718416,Nicotine dependence
G89,625438,43040,692331,0.314145,0.05952,0.254624,5.277953,"Pain, not elsewhere classified"
F41,754954,29924,881490,0.218412,0.075782,0.14263,2.882102,Other anxiety disorders
M54,1312016,36453,1602743,0.266067,0.137789,0.128278,1.930974,Dorsalgia
F32,685724,26731,799550,0.195107,0.068738,0.126369,2.83842,"Major depressive disorder, single episode"
F10,286589,17959,351631,0.131081,0.03023,0.100851,4.336128,Alcohol related disorders
F19,56687,14352,46331,0.104754,0.003983,0.100771,26.299514,Other psychoactive substance related disorders
E87,999492,23626,1140237,0.172444,0.098027,0.074417,1.759147,"Other disorders of fluid, electrolyte and acid-base balance"
J44,769854,22465,1081649,0.16397,0.09299,0.07098,1.763304,Other chronic obstructive pulmonary disease
F31,157602,11709,196610,0.085463,0.016903,0.06856,5.056165,Bipolar disorder
B19,97650,10481,109662,0.0765,0.009428,0.067072,8.114347,Unspecified viral hepatitis
F14,53233,9290,52508,0.067807,0.004514,0.063293,15.020944,Cocaine related disorders
Z91,419407,13911,461562,0.101535,0.039681,0.061854,2.558794,"Personal risk factors, not elsewhere classified"
R45,99986,9270,104928,0.067661,0.009021,0.05864,7.500589,Symptoms and signs involving emotional state
L03,398844,13040,461204,0.095178,0.03965,0.055528,2.400444,Cellulitis and acute lymphangitis
F12,117885,8883,122739,0.064836,0.010552,0.054284,6.144466,Cannabis related disorders
F55,50578,7826,47066,0.057121,0.004046,0.053075,14.116906,Abuse of non-dependence-producing substances
M79,950483,19659,1089518,0.143489,0.093667,0.049822,1.531913,"Other and unspecified soft tissue disorders, not elsewhere classified"
R11,908128,18533,1034135,0.13527,0.088905,0.046365,1.521513,Nausea and vomiting
Z86,864567,18027,1046763,0.131577,0.089991,0.041586,1.462117,Personal history of certain other diseases
T40,44586,5874,39845,0.042874,0.003426,0.039448,12.516044,"Poisoning by, adverse effect of and underdosing of narcotics and psychodysleptics [hallucinogens]"
B18,66165,6172,79352,0.045049,0.006822,0.038227,6.603513,Chronic viral hepatitis
J45,632471,14450,791666,0.105469,0.06806,0.037409,1.549648,Asthma
F15,35719,5509,36649,0.04021,0.003151,0.037059,12.761966,Other stimulant related disorders
J96,389862,10241,439601,0.074748,0.037793,0.036955,1.977838,"Respiratory failure, not elsewhere classified"
Z88,577611,12988,675846,0.094798,0.058103,0.036695,1.631555,"Allergy status to drugs, medicaments and biological substances"
F43,96717,6243,109869,0.045567,0.009446,0.036122,4.824199,"Reaction to severe stress, and adjustment disorders"
Z79,1945740,34771,2532184,0.25379,0.217693,0.036096,1.165813,Long term (current) drug therapy
R10,1999781,33893,2491588,0.247382,0.214203,0.033178,1.154891,Abdominal and pelvic pain
R41,236440,7363,257914,0.053742,0.022173,0.031569,2.423745,Other symptoms and signs involving cognitive functions and awareness
F13,11746,4348,7931,0.031736,0.000682,0.031054,46.544464,"Sedative, hypnotic, or anxiolytic related disorders"
F33,52079,4861,62301,0.03548,0.005356,0.030124,6.624264,"Major depressive disorder, recurrent"
A41,319778,7742,342963,0.056508,0.029485,0.027023,1.916518,Other sepsis
Z76,64420,4482,67281,0.032714,0.005784,0.026929,5.655701,Persons encountering health services in other circumstances
Z72,215806,6572,254886,0.047968,0.021913,0.026056,2.189065,Problems related to lifestyle
E86,470432,9472,505140,0.069135,0.043427,0.025708,1.591978,Volume depletion
G40,187326,6342,247391,0.04629,0.021268,0.025021,2.176454,Epilepsy and recurrent seizures
Z59,36272,3829,38791,0.027947,0.003335,0.024613,8.380334,Problems related to housing and economic circumstances
N17,528661,10421,598569,0.076062,0.051459,0.024602,1.478095,Acute kidney failure
K59,434064,8873,473414,0.064763,0.0407,0.024063,1.591243,Other functional intestinal disorders
J18,388780,8258,435225,0.060274,0.037417,0.022858,1.610898,"Pneumonia, unspecified organism"
B95,144420,4655,150364,0.033976,0.012927,0.021049,2.628348,"Streptococcus, Staphylococcus, and Enterococcus as the cause of diseases classified elsewhere"
R07,1164675,18944,1369808,0.13827,0.117763,0.020507,1.174138,Pain in throat and chest
T50,93283,3887,93606,0.028371,0.008047,0.020323,3.525477,"Poisoning by, adverse effect of and underdosing of diuretics and other and unspecified drugs, medicaments and biological substances"
D72,298622,6431,311596,0.046939,0.026788,0.020151,1.75224,Other disorders of white blood cells
E83,273771,6307,301410,0.046034,0.025912,0.020122,1.776529,Disorders of mineral metabolism
Z68,713537,12248,809216,0.089397,0.069569,0.019828,1.285014,Body mass index [BMI]
Y92,1039014,16431,1165667,0.119928,0.100213,0.019715,1.196731,Place of occurrence of the external cause
D57,53266,3571,91728,0.026064,0.007886,0.018178,3.305179,Sickle-cell disorders
K86,72116,3522,90784,0.025707,0.007805,0.017902,3.293723,Other diseases of pancreas
G43,221647,5358,257604,0.039107,0.022146,0.016961,1.765864,Migraine
O99,330532,6995,397163,0.051056,0.034144,0.016911,1.495292,"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"
R06,856660,14341,1022274,0.104673,0.087886,0.016788,1.19102,Abnormalities of breathing
Z99,260500,6395,349512,0.046676,0.030048,0.016629,1.553408,"Dependence on enabling machines and devices, not elsewhere classified"
R56,134734,4121,158837,0.030079,0.013655,0.016423,2.202713,"Convulsions, not elsewhere classified"
