ICD10_3Digits,n_patients_with_dx,sum_f_pos,sum_f_neg,mean_f_pos,mean_f_neg,score_diff,score_ratio
F11,67565,70486,33,0.51447,3e-06,0.514467,181277.103666
F17,1368519,55337,1728251,0.403899,0.148579,0.25532,2.718416
G89,625438,43040,692331,0.314145,0.05952,0.254624,5.277953
F41,754954,29924,881490,0.218412,0.075782,0.14263,2.882102
M54,1312016,36453,1602743,0.266067,0.137789,0.128278,1.930974
F32,685724,26731,799550,0.195107,0.068738,0.126369,2.83842
F10,286589,17959,351631,0.131081,0.03023,0.100851,4.336128
F19,56687,14352,46331,0.104754,0.003983,0.100771,26.299514
E87,999492,23626,1140237,0.172444,0.098027,0.074417,1.759147
J44,769854,22465,1081649,0.16397,0.09299,0.07098,1.763304
F31,157602,11709,196610,0.085463,0.016903,0.06856,5.056165
B19,97650,10481,109662,0.0765,0.009428,0.067072,8.114347
F14,53233,9290,52508,0.067807,0.004514,0.063293,15.020944
Z91,419407,13911,461562,0.101535,0.039681,0.061854,2.558794
R45,99986,9270,104928,0.067661,0.009021,0.05864,7.500589
L03,398844,13040,461204,0.095178,0.03965,0.055528,2.400444
F12,117885,8883,122739,0.064836,0.010552,0.054284,6.144466
F55,50578,7826,47066,0.057121,0.004046,0.053075,14.116906
M79,950483,19659,1089518,0.143489,0.093667,0.049822,1.531913
R11,908128,18533,1034135,0.13527,0.088905,0.046365,1.521513
Z86,864567,18027,1046763,0.131577,0.089991,0.041586,1.462117
T40,44586,5874,39845,0.042874,0.003426,0.039448,12.516044
B18,66165,6172,79352,0.045049,0.006822,0.038227,6.603513
J45,632471,14450,791666,0.105469,0.06806,0.037409,1.549648
F15,35719,5509,36649,0.04021,0.003151,0.037059,12.761966
J96,389862,10241,439601,0.074748,0.037793,0.036955,1.977838
Z88,577611,12988,675846,0.094798,0.058103,0.036695,1.631555
F43,96717,6243,109869,0.045567,0.009446,0.036122,4.824199
Z79,1945740,34771,2532184,0.25379,0.217693,0.036096,1.165813
R10,1999781,33893,2491588,0.247382,0.214203,0.033178,1.154891
R41,236440,7363,257914,0.053742,0.022173,0.031569,2.423745
F13,11746,4348,7931,0.031736,0.000682,0.031054,46.544464
F33,52079,4861,62301,0.03548,0.005356,0.030124,6.624264
A41,319778,7742,342963,0.056508,0.029485,0.027023,1.916518
Z76,64420,4482,67281,0.032714,0.005784,0.026929,5.655701
Z72,215806,6572,254886,0.047968,0.021913,0.026056,2.189065
E86,470432,9472,505140,0.069135,0.043427,0.025708,1.591978
G40,187326,6342,247391,0.04629,0.021268,0.025021,2.176454
Z59,36272,3829,38791,0.027947,0.003335,0.024613,8.380334
N17,528661,10421,598569,0.076062,0.051459,0.024602,1.478095
K59,434064,8873,473414,0.064763,0.0407,0.024063,1.591243
J18,388780,8258,435225,0.060274,0.037417,0.022858,1.610898
B95,144420,4655,150364,0.033976,0.012927,0.021049,2.628348
R07,1164675,18944,1369808,0.13827,0.117763,0.020507,1.174138
T50,93283,3887,93606,0.028371,0.008047,0.020323,3.525477
D72,298622,6431,311596,0.046939,0.026788,0.020151,1.75224
E83,273771,6307,301410,0.046034,0.025912,0.020122,1.776529
Z68,713537,12248,809216,0.089397,0.069569,0.019828,1.285014
Y92,1039014,16431,1165667,0.119928,0.100213,0.019715,1.196731
D57,53266,3571,91728,0.026064,0.007886,0.018178,3.305179
K86,72116,3522,90784,0.025707,0.007805,0.017902,3.293723
G43,221647,5358,257604,0.039107,0.022146,0.016961,1.765864
O99,330532,6995,397163,0.051056,0.034144,0.016911,1.495292
R06,856660,14341,1022274,0.104673,0.087886,0.016788,1.19102
Z99,260500,6395,349512,0.046676,0.030048,0.016629,1.553408
R56,134734,4121,158837,0.030079,0.013655,0.016423,2.202713
K31,144466,4171,163082,0.030444,0.01402,0.016423,2.171407
D64,784466,12948,909182,0.094506,0.078163,0.016343,1.209091
F39,23001,2507,23699,0.018298,0.002037,0.016261,8.981134
R52,129201,3743,131986,0.02732,0.011347,0.015973,2.407681
T42,31810,2528,30334,0.018452,0.002608,0.015844,7.075454
G93,209392,4703,227256,0.034327,0.019537,0.014789,1.756979
K74,99706,3644,138416,0.026597,0.0119,0.014697,2.235111
Z87,1225895,18991,1443773,0.138613,0.124122,0.014491,1.11675
M51,235434,5290,287775,0.038611,0.02474,0.013871,1.560665
L02,72730,2862,83621,0.020889,0.007189,0.0137,2.90577
G92,38248,2293,37494,0.016736,0.003223,0.013513,5.192174
F34,75431,2779,79648,0.020284,0.006847,0.013436,2.962243
L98,147536,3709,160187,0.027072,0.013771,0.0133,1.965788
F60,15725,1992,16575,0.014539,0.001425,0.013114,10.203345
B37,193215,4165,202777,0.0304,0.017433,0.012967,1.743827
G47,594681,10324,726224,0.075354,0.062434,0.01292,1.206937
R65,153018,3617,156942,0.0264,0.013492,0.012908,1.956665
B20,34488,2376,53268,0.017342,0.004579,0.012763,3.786928
K70,60449,2597,78558,0.018955,0.006754,0.012202,2.806652
M62,179494,3931,192875,0.028692,0.016582,0.01211,1.730351
D69,219309,4554,247908,0.033239,0.021313,0.011926,1.559587
K85,104050,2984,119643,0.02178,0.010286,0.011494,2.117476
F20,46421,2234,60924,0.016306,0.005238,0.011068,3.113162
K21,1222578,18999,1484550,0.138672,0.127628,0.011044,1.086533
D63,254848,5084,306696,0.037108,0.026367,0.010741,1.407358
K76,205535,4112,229421,0.030013,0.019723,0.01029,1.521693
R40,85543,2430,86922,0.017736,0.007473,0.010264,2.373469
R00,539262,8429,596642,0.061522,0.051294,0.010229,1.199415
R74,141174,3132,148328,0.02286,0.012752,0.010108,1.792692
J69,88863,2444,93785,0.017839,0.008063,0.009776,2.212457
F29,45213,1871,47696,0.013656,0.0041,0.009556,3.330418
F90,62346,2196,75960,0.016028,0.00653,0.009498,2.454451
L97,104719,2942,139877,0.021473,0.012025,0.009448,1.785679
T43,17484,1450,16828,0.010583,0.001447,0.009137,7.315471
B96,190711,3584,200971,0.026159,0.017278,0.008882,1.514055
R69,54144,1847,55218,0.013481,0.004747,0.008734,2.839836
F25,19341,1489,24977,0.010868,0.002147,0.008721,5.061291
M47,202785,4075,244716,0.029743,0.021038,0.008705,1.413749
R78,59091,1909,60971,0.013934,0.005242,0.008692,2.658212
D50,238466,4373,271156,0.031918,0.023311,0.008607,1.369201
I95,265152,4458,281788,0.032538,0.024225,0.008313,1.34315
M06,124693,3091,166128,0.022561,0.014282,0.008279,1.579659
E66,930354,14300,1119921,0.104374,0.09628,0.008094,1.084066
K50,57626,2126,86650,0.015517,0.007449,0.008068,2.08306
G82,36072,1660,47105,0.012116,0.00405,0.008067,2.991907
J98,270243,4486,287214,0.032743,0.024692,0.008051,1.326053
E10,65690,2074,83201,0.015138,0.007153,0.007985,2.116349
M86,48167,1793,60477,0.013087,0.005199,0.007888,2.51708
G62,66357,1946,74430,0.014204,0.006399,0.007805,2.219739
R19,469648,7113,513392,0.051917,0.044137,0.00778,1.17628
Z89,67626,2133,91113,0.015569,0.007833,0.007736,1.987548
R60,196052,3581,217602,0.026137,0.018707,0.00743,1.397168
I33,10078,1136,10249,0.008292,0.000881,0.00741,9.410299
Z53,146171,2762,149536,0.02016,0.012856,0.007304,1.56814
M32,53727,1862,74862,0.013591,0.006436,0.007155,2.111666
Z21,29434,1425,38272,0.010401,0.00329,0.007111,3.161118
J15,67777,1729,69970,0.01262,0.006015,0.006604,2.097926
M46,28948,1302,35047,0.009503,0.003013,0.00649,3.154039
M96,25207,1264,32008,0.009226,0.002752,0.006474,3.352706
Z93,101937,2414,129670,0.01762,0.011148,0.006472,1.580537
R79,212274,3536,225729,0.025809,0.019406,0.006403,1.32994
G25,75198,1891,86552,0.013802,0.007441,0.006361,1.854904
D68,91623,2075,103657,0.015145,0.008911,0.006234,1.699521
F69,5563,909,5239,0.006635,0.00045,0.006184,14.73064
R73,236843,3876,257750,0.028291,0.022159,0.006132,1.27671
Y90,18258,1072,20058,0.007824,0.001724,0.0061,4.537472
K72,47338,1481,55113,0.01081,0.004738,0.006072,2.281434
I82,133690,2709,160123,0.019773,0.013766,0.006007,1.436357
E43,68612,1702,74798,0.012423,0.00643,0.005992,1.931864
I26,71742,1796,84630,0.013109,0.007276,0.005833,1.801727
O98,28501,1146,29635,0.008365,0.002548,0.005817,3.283119
K58,85044,1920,95703,0.014014,0.008228,0.005786,1.703267
Z56,7879,873,7528,0.006372,0.000647,0.005725,9.845574
K08,133548,2589,154092,0.018897,0.013247,0.005649,1.426458
Z90,441885,6700,505252,0.048903,0.043437,0.005466,1.125833
N39,771186,11345,900572,0.082806,0.077423,0.005383,1.06953
M48,107181,2199,124474,0.01605,0.010701,0.005349,1.49987
G60,58019,1486,63962,0.010846,0.005499,0.005347,1.97244
R18,86018,1954,111568,0.014262,0.009592,0.00467,1.486935
L89,106281,2205,132950,0.016094,0.01143,0.004664,1.40808
R09,284902,4166,300636,0.030407,0.025846,0.004561,1.176482
R50,333123,4853,359687,0.035422,0.030923,0.004499,1.145493
M50,90512,1866,106193,0.01362,0.009129,0.00449,1.491842
J20,146343,2392,152536,0.017459,0.013114,0.004345,1.331361
O09,154883,2886,195861,0.021065,0.016838,0.004226,1.250995
J43,77198,1562,85075,0.011401,0.007314,0.004087,1.558785
Z02,56073,1279,61464,0.009335,0.005284,0.004051,1.766675
D61,61407,1399,72054,0.010211,0.006195,0.004017,1.648415
R51,560342,8027,635019,0.058588,0.054593,0.003995,1.073183
R63,155863,2562,171154,0.0187,0.014714,0.003986,1.270864
Z81,9577,648,9463,0.00473,0.000814,0.003916,5.813701
I87,82548,1735,102658,0.012664,0.008826,0.003838,1.434874
T41,7516,603,7090,0.004401,0.00061,0.003792,7.220669
R44,14317,691,14610,0.005044,0.001256,0.003788,4.015453
K52,209135,3106,220230,0.02267,0.018933,0.003737,1.19738
N31,36244,1035,45320,0.007554,0.003896,0.003658,1.938909
R25,49643,1090,52249,0.007956,0.004492,0.003464,1.771151
R16,45863,1048,48964,0.007649,0.004209,0.00344,1.817152
K29,322439,4501,342273,0.032852,0.029425,0.003427,1.116461
T39,14196,628,13991,0.004584,0.001203,0.003381,3.810813
Z71,62496,1254,67598,0.009153,0.005811,0.003341,1.574964
E44,50660,1079,52941,0.007876,0.004551,0.003324,1.730359
G59,30297,827,32066,0.006036,0.002757,0.003279,2.189614
M00,16244,666,18452,0.004861,0.001586,0.003275,3.064345
I38,12391,594,12816,0.004336,0.001102,0.003234,3.934963
A04,56345,1181,62697,0.00862,0.00539,0.00323,1.599227
K56,167047,2572,181666,0.018773,0.015618,0.003155,1.202
E16,42202,952,44472,0.006949,0.003823,0.003125,1.817428
G90,14292,620,17157,0.004525,0.001475,0.00305,3.068013
G35,31179,969,47157,0.007073,0.004054,0.003019,1.744555
Z83,161556,2427,171630,0.017714,0.014755,0.002959,1.200559
B17,6428,479,6782,0.003496,0.000583,0.002913,5.99631
K04,73671,1340,80311,0.009781,0.006904,0.002876,1.416566
Z63,7513,482,7491,0.003518,0.000644,0.002874,5.462779
R64,33258,798,35028,0.005825,0.003011,0.002813,1.934169
T38,25766,685,26048,0.005,0.002239,0.00276,2.232662
G06,5047,439,5725,0.003204,0.000492,0.002712,6.510213
M90,20413,637,22868,0.004649,0.001966,0.002683,2.364929
T80,17580,577,17783,0.004211,0.001529,0.002683,2.754721
L08,29672,721,30575,0.005263,0.002629,0.002634,2.002054
I85,33203,841,41402,0.006138,0.003559,0.002579,1.724573
K27,33737,768,35493,0.005606,0.003051,0.002554,1.837069
T14,79647,1309,81542,0.009554,0.00701,0.002544,1.362904
M41,56144,1128,66357,0.008233,0.005705,0.002528,1.443209
I27,150696,2464,179921,0.017984,0.015468,0.002517,1.162695
K92,239585,3433,262554,0.025057,0.022572,0.002485,1.1101
F44,17330,551,17951,0.004022,0.001543,0.002478,2.605972
R91,147735,2324,168865,0.016963,0.014517,0.002445,1.168432
