feature,description,n_methods,methods
B18,Chronic viral hepatitis,4,Elastic Net & LightGBM & NTK & Recurrence Enrichment
B19,Unspecified viral hepatitis,4,Elastic Net & LightGBM & NTK & Recurrence Enrichment
D57,Sickle-cell disorders,4,Elastic Net & LightGBM & NTK & Recurrence Enrichment
F10,Alcohol related disorders,4,Elastic Net & LightGBM & NTK & Recurrence Enrichment
F11,Opioid related disorders,4,Elastic Net & LightGBM & NTK & Recurrence Enrichment
F14,Cocaine related disorders,4,Elastic Net & LightGBM & NTK & Recurrence Enrichment
F17,Nicotine dependence,4,Elastic Net & LightGBM & NTK & Recurrence Enrichment
F19,Other psychoactive substance related disorders,4,Elastic Net & LightGBM & NTK & Recurrence Enrichment
F31,Bipolar disorder,4,Elastic Net & LightGBM & NTK & Recurrence Enrichment
F32,"Major depressive disorder, single episode",4,Elastic Net & LightGBM & NTK & Recurrence Enrichment
F55,Abuse of non-dependence-producing substances,4,Elastic Net & LightGBM & NTK & Recurrence Enrichment
G89,"Pain, not elsewhere classified",4,Elastic Net & LightGBM & NTK & Recurrence Enrichment
O99,"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",4,Elastic Net & LightGBM & NTK & Recurrence Enrichment
R45,Symptoms and signs involving emotional state,4,Elastic Net & LightGBM & NTK & Recurrence Enrichment
T40,"Poisoning by, adverse effect of and underdosing of narcotics and psychodysleptics [hallucinogens]",4,Elastic Net & LightGBM & NTK & Recurrence Enrichment
E66,Overweight and obesity,3,LightGBM & NTK & Recurrence Enrichment
F41,Other anxiety disorders,3,LightGBM & NTK & Recurrence Enrichment
J44,Other chronic obstructive pulmonary disease,3,LightGBM & NTK & Recurrence Enrichment
J45,Asthma,3,LightGBM & NTK & Recurrence Enrichment
K21,Gastro-esophageal reflux disease,3,LightGBM & NTK & Recurrence Enrichment
L03,Cellulitis and acute lymphangitis,3,LightGBM & NTK & Recurrence Enrichment
M54,Dorsalgia,3,LightGBM & NTK & Recurrence Enrichment
M79,"Other and unspecified soft tissue disorders, not elsewhere classified",3,LightGBM & NTK & Recurrence Enrichment
R00,Abnormalities of heart beat,3,LightGBM & NTK & Recurrence Enrichment
R06,Abnormalities of breathing,3,LightGBM & NTK & Recurrence Enrichment
R07,Pain in throat and chest,3,LightGBM & NTK & Recurrence Enrichment
R10,Abdominal and pelvic pain,3,LightGBM & NTK & Recurrence Enrichment
R11,Nausea and vomiting,3,LightGBM & NTK & Recurrence Enrichment
R41,Other symptoms and signs involving cognitive functions and awareness,3,LightGBM & NTK & Recurrence Enrichment
Y92,Place of occurrence of the external cause,3,LightGBM & NTK & Recurrence Enrichment
Z68,Body mass index [BMI],3,LightGBM & NTK & Recurrence Enrichment
Z79,Long term (current) drug therapy,3,LightGBM & NTK & Recurrence Enrichment
Z86,Personal history of certain other diseases,3,LightGBM & NTK & Recurrence Enrichment
Z88,"Allergy status to drugs, medicaments and biological substances",3,LightGBM & NTK & Recurrence Enrichment
Z91,"Personal risk factors, not elsewhere classified",3,LightGBM & NTK & Recurrence Enrichment
E78,Disorders of lipoprotein metabolism and other lipidemias,3,Elastic Net & LightGBM & NTK
I48,Atrial fibrillation and flutter,3,Elastic Net & LightGBM & NTK
K57,Diverticular disease of intestine,3,Elastic Net & LightGBM & NTK
K80,Cholelithiasis,3,Elastic Net & LightGBM & NTK
N20,Calculus of kidney and ureter,3,Elastic Net & LightGBM & NTK
Z01,"Encounter for other special examination without complaint, suspected or reported diagnosis",3,Elastic Net & LightGBM & NTK
Z12,Encounter for screening for malignant neoplasms,3,Elastic Net & LightGBM & NTK
Z37,Outcome of delivery,3,Elastic Net & LightGBM & NTK
Z3A,Weeks of gestation,3,Elastic Net & LightGBM & NTK
B20,Human immunodeficiency virus [HIV] disease,3,Elastic Net & LightGBM & Recurrence Enrichment
K86,Other diseases of pancreas,3,Elastic Net & LightGBM & Recurrence Enrichment
Z76,Persons encountering health services in other circumstances,3,Elastic Net & LightGBM & Recurrence Enrichment
A02,Other salmonella infections,2,Elastic Net & LightGBM
C50,Malignant neoplasm of breast,2,Elastic Net & LightGBM
D25,Leiomyoma of uterus,2,Elastic Net & LightGBM
F02,Dementia in other diseases classified elsewhere,2,Elastic Net & LightGBM
F03,Unspecified dementia,2,Elastic Net & LightGBM
H25,Age-related cataract,2,Elastic Net & LightGBM
H26,Other cataract,2,Elastic Net & LightGBM
H65,Nonsuppurative otitis media,2,Elastic Net & LightGBM
I21,ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction,2,Elastic Net & LightGBM
I65,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",2,Elastic Net & LightGBM
I70,Atherosclerosis,2,Elastic Net & LightGBM
J35,Chronic diseases of tonsils and adenoids,2,Elastic Net & LightGBM
K08,Other disorders of teeth and supporting structures,2,Elastic Net & LightGBM
K35,Acute appendicitis,2,Elastic Net & LightGBM
K40,Inguinal hernia,2,Elastic Net & LightGBM
K64,Hemorrhoids and perianal venous thrombosis,2,Elastic Net & LightGBM
N47,Disorders of prepuce,2,Elastic Net & LightGBM
N83,"Noninflammatory disorders of ovary, fallopian tube and broad ligament",2,Elastic Net & LightGBM
N84,Polyp of female genital tract,2,Elastic Net & LightGBM
N92,"Excessive, frequent and irregular menstruation",2,Elastic Net & LightGBM
O09,Supervision of high risk pregnancy,2,Elastic Net & LightGBM
O70,Perineal laceration during delivery,2,Elastic Net & LightGBM
S42,Fracture of shoulder and upper arm,2,Elastic Net & LightGBM
S52,Fracture of forearm,2,Elastic Net & LightGBM
S62,Fracture at wrist and hand level,2,Elastic Net & LightGBM
S83,Dislocation and sprain of joints and ligaments of knee,2,Elastic Net & LightGBM
Z02,Encounter for administrative examination,2,Elastic Net & LightGBM
Z30,Encounter for contraceptive management,2,Elastic Net & LightGBM
Z53,"Persons encountering health services for specific procedures and treatment, not carried out",2,Elastic Net & LightGBM
Z66,Do not resuscitate,2,Elastic Net & LightGBM
A41,Other sepsis,2,NTK & Recurrence Enrichment
D50,Iron deficiency anemia,2,NTK & Recurrence Enrichment
D63,Anemia in chronic diseases classified elsewhere,2,NTK & Recurrence Enrichment
D64,Other anemias,2,NTK & Recurrence Enrichment
D69,Purpura and other hemorrhagic conditions,2,NTK & Recurrence Enrichment
D72,Other disorders of white blood cells,2,NTK & Recurrence Enrichment
E83,Disorders of mineral metabolism,2,NTK & Recurrence Enrichment
E86,Volume depletion,2,NTK & Recurrence Enrichment
E87,"Other disorders of fluid, electrolyte and acid-base balance",2,NTK & Recurrence Enrichment
F12,Cannabis related disorders,2,NTK & Recurrence Enrichment
F43,"Reaction to severe stress, and adjustment disorders",2,NTK & Recurrence Enrichment
G40,Epilepsy and recurrent seizures,2,NTK & Recurrence Enrichment
G43,Migraine,2,NTK & Recurrence Enrichment
G47,Sleep disorders,2,NTK & Recurrence Enrichment
G93,Other disorders of brain,2,NTK & Recurrence Enrichment
I95,Hypotension,2,NTK & Recurrence Enrichment
J18,"Pneumonia, unspecified organism",2,NTK & Recurrence Enrichment
J96,"Respiratory failure, not elsewhere classified",2,NTK & Recurrence Enrichment
K59,Other functional intestinal disorders,2,NTK & Recurrence Enrichment
M47,Spondylosis,2,NTK & Recurrence Enrichment
M51,"Thoracic, thoracolumbar, and lumbosacral intervertebral disc disorders",2,NTK & Recurrence Enrichment
N17,Acute kidney failure,2,NTK & Recurrence Enrichment
Z72,Problems related to lifestyle,2,NTK & Recurrence Enrichment
Z87,Personal history of other diseases and conditions,2,NTK & Recurrence Enrichment
Z99,"Dependence on enabling machines and devices, not elsewhere classified",2,NTK & Recurrence Enrichment
E03,Other hypothyroidism,2,LightGBM & NTK
E13,Other specified diabetes mellitus,2,LightGBM & NTK
I10,Essential (primary) hypertension,2,LightGBM & NTK
I12,Hypertensive chronic kidney disease,2,LightGBM & NTK
I25,Chronic ischemic heart disease,2,LightGBM & NTK
M25,"Other joint disorder, not elsewhere classified",2,LightGBM & NTK
R50,Fever of other and unknown origin,2,LightGBM & NTK
R94,Abnormal results of function studies,2,LightGBM & NTK
Z51,Encounter for other aftercare and medical care,2,LightGBM & NTK
Z82,Family history of certain disabilities and chronic diseases (leading to disablement),2,LightGBM & NTK
Z85,Personal history of malignant neoplasm,2,LightGBM & NTK
Z95,Presence of cardiac and vascular implants and grafts,2,LightGBM & NTK
