DETAIL_LAB_PROCEDURE_ID,n_valid_records,n_abnormal_records,abnormal_rate_records,n_valid_records_pos,n_abnormal_records_pos,abnormal_rate_records_pos,n_valid_records_neg,n_abnormal_records_neg,abnormal_rate_records_neg,n_valid_encounters,n_abnormal_encounters,abnormal_rate_encounters,n_valid_encounters_pos,n_abnormal_encounters_pos,abnormal_rate_encounters_pos,n_valid_encounters_neg,n_abnormal_encounters_neg,abnormal_rate_encounters_neg,n_valid_patients,n_abnormal_patients,abnormal_rate_patients,n_valid_patients_pos,n_abnormal_patients_pos,abnormal_rate_patients_pos,n_valid_patients_neg,n_abnormal_patients_neg,abnormal_rate_patients_neg,n_patients_with_lab,n_encounters_with_lab
1,3183087,1265265,0.3974962041565311,37971.0,15192.0,0.40009480919649204,3145116.0,1250073.0,0.3974648311858768,1861581,479795,0.2577352261330557,21489.0,5519.0,0.25682907534087207,1840092.0,474276.0,0.2577458083617558,1532316,417821,0.2726728690426779,18102.0,4966.0,0.27433432769859684,1514214.0,412855.0,0.2726530067744718,1532463,1861787
2,5401430,2780965,0.5148571767106118,73308.0,36788.0,0.5018279041850822,5328122.0,2744177.0,0.515036442483862,2906940,1079868,0.371479287498194,36635.0,13421.0,0.3663436604340112,2870305.0,1066447.0,0.37154483582755143,2228552,792567,0.3556421389314676,30047.0,11189.0,0.37238326621626117,2198505.0,781378.0,0.355413337699937,2231838,2911267
3,19212078,7589666,0.39504659516789387,329364.0,114156.0,0.34659525631216526,18882714.0,7475510.0,0.39589171344754787,7508985,2558419,0.34071435753300877,101040.0,35472.0,0.3510688836104513,7407945.0,2522947.0,0.3405731279052423,4996311,1858711,0.3720166739020049,70508.0,28219.0,0.4002240880467465,4925803.0,1830492.0,0.37161291265606844,4996706,7509878
4,1735653,579028,0.3336081578518287,28934.0,12710.0,0.43927559272827815,1706719.0,566318.0,0.33181677827457245,957654,298168,0.31135253442266203,15750.0,5819.0,0.36946031746031743,941904.0,292349.0,0.31038088807351916,788097,269707,0.34222563973724046,13413.0,5407.0,0.4031163796317006,774684.0,264300.0,0.341171367938411,788184,957751
5,1155378,258012,0.22331392842861816,17038.0,4109.0,0.24116680361544782,1138340.0,253903.0,0.22304671714953353,574128,128778,0.2243018978346292,8604.0,2046.0,0.2377963737796374,565524.0,126732.0,0.22409659006514313,471878,118845,0.2518553524427924,7237.0,1907.0,0.26350697802957024,464641.0,116938.0,0.25167387294707094,477142,580490
6,515603,136251,0.2642556385436082,7312.0,1557.0,0.21293763676148797,508291.0,134694.0,0.26499387162078414,256304,50731,0.1979329234034584,3939.0,542.0,0.1375983752221376,252365.0,50189.0,0.19887464585025658,190536,42278,0.22188982659444934,3037.0,488.0,0.16068488640105366,187499.0,41790.0,0.22288118869967308,210891,280096
7,342287,238906,0.6979698323336849,8003.0,6007.0,0.7505935274272147,334284.0,232899.0,0.6967099831281186,237774,155366,0.6534187926350232,5143.0,3661.0,0.7118413377406183,232631.0,151705.0,0.6521271885518267,213267,142034,0.6659914567185734,4771.0,3436.0,0.7201844477048837,208496.0,138598.0,0.6647513621364438,219303,244861
8,10348023,2365289,0.22857399911074802,164366.0,45151.0,0.27469793022887945,10183657.0,2320138.0,0.2278295508185321,5964493,1216238,0.20391305681807323,81779.0,21274.0,0.26014013377517453,5882714.0,1194964.0,0.2031314117939441,4280300,1015009,0.2371350139008948,61085.0,18185.0,0.2976999263321601,4219215.0,996824.0,0.23625816650727682,4283302,5969061
9,10028714,3007171,0.29985609321394546,158107.0,58042.0,0.36710582074164966,9870607.0,2949129.0,0.2987788896873313,5869619,1556189,0.26512606695596425,78707.0,27717.0,0.3521541921303061,5790912.0,1528472.0,0.2639432269045014,4203453,1273154,0.3028828917558969,58305.0,23077.0,0.3957979590086613,4145148.0,1250077.0,0.3015759630295468,4205506,5872575
10,615071,309022,0.5024167941587231,12089.0,6535.0,0.5405740756059227,602982.0,302487.0,0.5016517906007144,331735,153483,0.46266749061751095,6538.0,3370.0,0.5154481492811257,325197.0,150113.0,0.46160634938206685,270472,132015,0.4880911887367269,5733.0,3037.0,0.5297401011686727,264739.0,128978.0,0.4871892694314022,270788,332141
11,119352,36190,0.30322072524968163,1309.0,453.0,0.3460656990068755,118043.0,35737.0,0.3027456096507205,75602,23149,0.3061956032909182,778.0,255.0,0.3277634961439589,74824.0,22894.0,0.3059713460921629,61893,20909,0.337824955972404,660.0,241.0,0.36515151515151517,61233.0,20668.0,0.33753041660542515,61980,75697
12,675,241,0.35703703703703704,2.0,1.0,0.5,673.0,240.0,0.35661218424962854,638,223,0.3495297805642633,2.0,1.0,0.5,636.0,222.0,0.3490566037735849,613,214,0.34910277324632955,2.0,1.0,0.5,611.0,213.0,0.3486088379705401,7076,7942
13,17950122,6291513,0.35049973476503393,273108.0,94031.0,0.34429969096474655,17677014.0,6197482.0,0.35059552478716144,6869442,2080023,0.30279358934830514,77803.0,25859.0,0.3323650758968163,6791639.0,2054164.0,0.3024548271779463,4537819,1477331,0.3255597016981065,53357.0,19823.0,0.3715163896021141,4484462.0,1457508.0,0.32501290009816114,4540156,6873560
14,211767,38088,0.179858051537775,5291.0,971.0,0.18351918351918353,206476.0,37117.0,0.17976423409984696,74298,17029,0.22919863253385017,1856.0,409.0,0.22036637931034483,72442.0,16620.0,0.22942491924574143,58256,15432,0.26489975281516065,1458.0,339.0,0.23251028806584362,56798.0,15093.0,0.2657311877178774,58297,74348
15,202824,53416,0.26336133790872873,2630.0,666.0,0.2532319391634981,200194.0,52750.0,0.26349441042189076,172187,45783,0.2658911532229495,2216.0,586.0,0.2644404332129964,169971.0,45197.0,0.2659100670114314,155688,42322,0.27183854889265713,2119.0,567.0,0.26757904672015104,153569.0,41755.0,0.2718973230274339,177045,196098
16,299650,176387,0.5886434173202069,7413.0,4180.0,0.5638742749224336,292237.0,172207.0,0.5892717212399525,85868,40468,0.47128150184003353,1392.0,593.0,0.4260057471264368,84476.0,39875.0,0.47202755812301717,71963,32248,0.4481191723524589,1231.0,529.0,0.429731925264013,70732.0,31719.0,0.4484391788723633,101172,126519
17,102960,25060,0.2433954933954934,1089.0,262.0,0.24058769513314968,101871.0,24798.0,0.24342550873163118,63915,14677,0.22963310646952984,654.0,144.0,0.22018348623853212,63261.0,14533.0,0.22973079780591518,57145,13992,0.24485081809432147,616.0,140.0,0.22727272727272727,56529.0,13852.0,0.2450423676343116,59034,66084
18,206645,146523,0.7090565946429868,530.0,373.0,0.7037735849056603,206115.0,146150.0,0.7090701792688547,65996,51958,0.7872901387962907,187.0,154.0,0.8235294117647058,65809.0,51804.0,0.7871871628500661,61529,48463,0.7876448503957484,181.0,149.0,0.8232044198895028,61348.0,48314.0,0.7875399361022364,62368,66842
19,10790,4317,0.40009267840593143,87.0,43.0,0.4942528735632184,10703.0,4274.0,0.39932729141362233,7114,3035,0.4266235591790835,64.0,31.0,0.484375,7050.0,3004.0,0.42609929078014186,7059,3023,0.42824762714265474,64.0,31.0,0.484375,6995.0,2992.0,0.42773409578270194,7115,7170
20,12886,4604,0.3572869781157846,407.0,56.0,0.1375921375921376,12479.0,4548.0,0.3644522798301146,9539,3551,0.3722612433169095,159.0,47.0,0.29559748427672955,9380.0,3504.0,0.37356076759061835,9181,3466,0.37751878880296263,155.0,46.0,0.2967741935483871,9026.0,3420.0,0.3789053844449368,9309,9669
21,280579,160198,0.5709550607850196,3939.0,2418.0,0.6138613861386139,276640.0,157780.0,0.5703441295546559,252825,141172,0.5583783249283101,3389.0,2018.0,0.5954558866922396,249436.0,139154.0,0.5578745650186822,241655,136499,0.5648507169311622,3239.0,1950.0,0.6020376659462797,238416.0,134549.0,0.5643455137239112,255928,268279
