DETAIL_LAB_PROCEDURE_ID,n_valid_records,n_abnormal_records,abnormal_rate_records,n_valid_records_pos,n_abnormal_records_pos,abnormal_rate_records_pos,n_valid_records_neg,n_abnormal_records_neg,abnormal_rate_records_neg,n_valid_encounters,n_abnormal_encounters,abnormal_rate_encounters,n_valid_encounters_pos,n_abnormal_encounters_pos,abnormal_rate_encounters_pos,n_valid_encounters_neg,n_abnormal_encounters_neg,abnormal_rate_encounters_neg,n_valid_patients,n_abnormal_patients,abnormal_rate_patients,n_valid_patients_pos,n_abnormal_patients_pos,abnormal_rate_patients_pos,n_valid_patients_neg,n_abnormal_patients_neg,abnormal_rate_patients_neg,n_patients_with_lab,n_encounters_with_lab,delta_abnormal_pat,rr_abnormal_pat,lab_score_pat,keep_flag
1,3183087.0,1265265.0,0.3974962041565311,37971.0,15192.0,0.400094809196492,3145116.0,1250073.0,0.3974648311858768,1861581.0,479795.0,0.2577352261330557,21489.0,5519.0,0.256829075340872,1840092.0,474276.0,0.2577458083617558,1532316.0,417821.0,0.2726728690426779,18102.0,4966.0,0.2743343276985968,1514214.0,412855.0,0.2726530067744718,1532463.0,1861787.0,0.001681320924124985,1.006166522584934,0.023945862751728723,True
2,5401430.0,2780965.0,0.5148571767106118,73308.0,36788.0,0.5018279041850822,5328122.0,2744177.0,0.515036442483862,2906940.0,1079868.0,0.371479287498194,36635.0,13421.0,0.3663436604340112,2870305.0,1066447.0,0.3715448358275514,2228552.0,792567.0,0.3556421389314676,30047.0,11189.0,0.3723832662162611,2198505.0,781378.0,0.355413337699937,2231838.0,2911267.0,0.016969928516324118,1.0477470221746468,0.24804712115757344,True
3,19212078.0,7589666.0,0.3950465951678938,329364.0,114156.0,0.3465952563121652,18882714.0,7475510.0,0.3958917134475478,7508985.0,2558419.0,0.3407143575330087,101040.0,35472.0,0.3510688836104513,7407945.0,2522947.0,0.3405731279052423,4996311.0,1858711.0,0.3720166739020049,70508.0,28219.0,0.4002240880467465,4925803.0,1830492.0,0.3716129126560684,4996706.0,7509878.0,0.02861117539067809,1.076991876267653,0.44130479468893336,True
4,1735653.0,579028.0,0.3336081578518287,28934.0,12710.0,0.4392755927282781,1706719.0,566318.0,0.3318167782745724,957654.0,298168.0,0.311352534422662,15750.0,5819.0,0.3694603174603174,941904.0,292349.0,0.3103808880735191,788097.0,269707.0,0.3422256397372404,13413.0,5407.0,0.4031163796317006,774684.0,264300.0,0.341171367938411,788184.0,957751.0,0.06194501169328959,1.1815656808119726,0.8410508220377964,True
5,1155378.0,258012.0,0.2233139284286181,17038.0,4109.0,0.2411668036154478,1138340.0,253903.0,0.2230467171495335,574128.0,128778.0,0.2243018978346292,8604.0,2046.0,0.2377963737796374,565524.0,126732.0,0.2240965900651431,471878.0,118845.0,0.2518553524427924,7237.0,1907.0,0.2635069780295702,464641.0,116938.0,0.2516738729470709,477142.0,580490.0,0.011833105082499296,1.047017614279683,0.15459333955198176,True
6,515603.0,136251.0,0.2642556385436082,7312.0,1557.0,0.2129376367614879,508291.0,134694.0,0.2649938716207841,256304.0,50731.0,0.1979329234034584,3939.0,542.0,0.1375983752221376,252365.0,50189.0,0.1988746458502565,190536.0,42278.0,0.2218898265944493,3037.0,488.0,0.1606848864010536,187499.0,41790.0,0.222881188699673,210891.0,280096.0,-0.06219630229861939,0.7209441377198171,0.7561578693410645,True
7,342287.0,238906.0,0.6979698323336849,8003.0,6007.0,0.7505935274272147,334284.0,232899.0,0.6967099831281186,237774.0,155366.0,0.6534187926350232,5143.0,3661.0,0.7118413377406183,232631.0,151705.0,0.6521271885518267,213267.0,142034.0,0.6659914567185734,4771.0,3436.0,0.7201844477048837,208496.0,138598.0,0.6647513621364438,219303.0,244861.0,0.055433085568439844,1.0833892019269935,0.6801808597964518,True
8,10348023.0,2365289.0,0.228573999110748,164366.0,45151.0,0.2746979302288794,10183657.0,2320138.0,0.2278295508185321,5964493.0,1216238.0,0.2039130568180732,81779.0,21274.0,0.2601401337751745,5882714.0,1194964.0,0.2031314117939441,4280300.0,1015009.0,0.2371350139008948,61085.0,18185.0,0.2976999263321601,4219215.0,996824.0,0.2362581665072768,4283302.0,5969061.0,0.061441759824883285,1.26006195143731,0.9381870340417272,True
9,10028714.0,3007171.0,0.2998560932139454,158107.0,58042.0,0.3671058207416496,9870607.0,2949129.0,0.2987788896873313,5869619.0,1556189.0,0.2651260669559642,78707.0,27717.0,0.3521541921303061,5790912.0,1528472.0,0.2639432269045014,4203453.0,1273154.0,0.3028828917558969,58305.0,23077.0,0.3957979590086613,4145148.0,1250077.0,0.3015759630295468,4205506.0,5872575.0,0.09422199597911451,1.3124320487368655,1.4370189631440107,True
10,615071.0,309022.0,0.5024167941587231,12089.0,6535.0,0.5405740756059227,602982.0,302487.0,0.5016517906007144,331735.0,153483.0,0.4626674906175109,6538.0,3370.0,0.5154481492811257,325197.0,150113.0,0.4616063493820668,270472.0,132015.0,0.4880911887367269,5733.0,3037.0,0.5297401011686727,264739.0,128978.0,0.4871892694314022,270788.0,332141.0,0.04255083173727042,1.0873394272146664,0.5322227208653935,True
