Model,AUROC,CalibrationMethod,Strategy,Threshold,Precision,Recall,F1,PredPosRate,Brier
Logistic Regression,0.7859149094021005,raw,default,0.5,0.05381232699113494,0.5969293557477408,0.0987247583308557,0.1290788730531061,0.1579002202603187
Logistic Regression,0.7859149094021005,raw,f1_swept,0.8824461485731377,0.14159560739859822,0.2718880575259936,0.18621366653910787,0.022343661927239074,0.1579002202603187
Logistic Regression,0.7859149094021005,raw,prevalence_matched,0.9434353485518125,0.17723490194170033,0.1769507336507628,0.17709270380005349,0.011617618707594335,0.1579002202603187
Logistic Regression,0.7859149094021005,isotonic,default,0.5,1.0,9.717228646390049e-05,0.000194325689856199,1.1307235103989815e-06,0.010934903021927346
Logistic Regression,0.7859149094021005,isotonic,f1_swept,0.09385113268608414,0.14159560739859822,0.2718880575259936,0.18621366653910787,0.022343661927239074,0.010934903021927346
Logistic Regression,0.7859149094021005,isotonic,prevalence_matched,0.12158489486482622,0.17349775784753363,0.18797978816441552,0.18044867310293364,0.012607567140948643,0.010934903021927346
Logistic Regression,0.7859149094021005,platt,default,0.5,0.0,0.0,0.0,0.0,0.010974869460294603
Logistic Regression,0.7859149094021005,platt,f1_swept,0.09456352425799244,0.14159560739859822,0.2718880575259936,0.18621366653910787,0.022343661927239074,0.010974869460294603
Logistic Regression,0.7859149094021005,platt,prevalence_matched,0.12655535988924166,0.17723490194170033,0.1769507336507628,0.17709270380005349,0.011617618707594335,0.010974869460294603
Transformer,0.7910765697110625,raw,default,0.5,0.050598201444534,0.6221941502283549,0.09358579916250721,0.1430885373469495,0.1502491682767868
Transformer,0.7910765697110625,raw,f1_swept,0.9252299070358276,0.20913250450617,0.21985229812457488,0.21435846419858356,0.012232732297251381,0.1502491682767868
Transformer,0.7910765697110625,raw,prevalence_matched,0.9273632764816284,0.2156303760137626,0.21314741035856574,0.21438170400957804,0.01150228490953364,0.1502491682767868
Transformer,0.7910765697110625,isotonic,default,0.5,0.5192012288786483,0.016422116412399185,0.03183723449347713,0.00036805050263486843,0.010723108425736427
Transformer,0.7910765697110625,isotonic,f1_swept,0.10971943289041519,0.20913250450617,0.21985229812457488,0.21435846419858356,0.012232732297251381,0.010723108425736427
Transformer,0.7910765697110625,isotonic,prevalence_matched,0.10971943289041519,0.20913250450617,0.21985229812457488,0.21435846419858356,0.012232732297251381,0.010723108425736427
Transformer,0.7910765697110625,platt,default,0.5,0.0,0.0,0.0,0.0,0.010904267748244854
Transformer,0.7910765697110625,platt,f1_swept,0.11520410580690713,0.20913250450617,0.21985229812457488,0.21435846419858356,0.012232732297251381,0.010904267748244854
Transformer,0.7910765697110625,platt,prevalence_matched,0.1163664786860866,0.2156303760137626,0.21314741035856574,0.21438170400957804,0.01150228490953364,0.010904267748244854
