Model,AUROC,CalibrationMethod,Strategy,Threshold,Precision,Recall,F1,PredPosRate,Brier
Logistic Regression,0.8170503617744913,raw,default,0.5,0.051166199979832926,0.6409969876591196,0.0947677676095795,0.1457762671311679,0.15021513245975618
Logistic Regression,0.8170503617744913,raw,f1_swept,0.9103077970424953,0.15206290257064933,0.25463997667865124,0.19041563726202587,0.019485758254705648,0.15021513245975618
Logistic Regression,0.8170503617744913,raw,prevalence_matched,0.954684918591484,0.18387428403583492,0.18248955397920513,0.1831793021044161,0.011548644573459997,0.15021513245975618
Logistic Regression,0.8170503617744913,isotonic,default,0.5,0.5,4.8586143231950245e-05,9.71628449280995e-05,1.1307235103989815e-06,0.0108925261895962
Logistic Regression,0.8170503617744913,isotonic,f1_swept,0.0971391972672929,0.15206290257064933,0.25463997667865124,0.19041563726202587,0.019485758254705648,0.0108925261895962
Logistic Regression,0.8170503617744913,isotonic,prevalence_matched,0.1285532456512516,0.18339655675517946,0.1832183461276844,0.183307408127552,0.011624968410411928,0.0108925261895962
Logistic Regression,0.8170503617744913,platt,default,0.5,0.0,0.0,0.0,0.0,0.010926613076710579
Logistic Regression,0.8170503617744913,platt,f1_swept,0.11051772332381031,0.15206290257064933,0.25463997667865124,0.19041563726202587,0.019485758254705648,0.010926613076710579
Logistic Regression,0.8170503617744913,platt,prevalence_matched,0.13657980581704698,0.18387428403583492,0.18248955397920513,0.1831793021044161,0.011548644573459997,0.010926613076710579
Transformer,0.8281770577198994,raw,default,0.5,0.04491660084850793,0.6990574288213002,0.08440962250923267,0.18110063495778728,0.14526623487472534
Transformer,0.8281770577198994,raw,f1_swept,0.9473810195922852,0.21418967017321838,0.26314255174424256,0.23615592569983432,0.014295737341974323,0.14526623487472534
Transformer,0.8281770577198994,raw,prevalence_matched,0.9553191661834717,0.23480063642061616,0.2366145175395977,0.23570408731215062,0.011726168164592637,0.14526623487472534
Transformer,0.8281770577198994,isotonic,default,0.5,0.5961331901181526,0.026965309493732388,0.05159670896667132,0.0005263517940907259,0.010521167889237404
Transformer,0.8281770577198994,isotonic,f1_swept,0.12244898080825806,0.21418967017321838,0.26314255174424256,0.23615592569983432,0.014295737341974323,0.010521167889237404
Transformer,0.8281770577198994,isotonic,prevalence_matched,0.13041065633296967,0.23480063642061616,0.2366145175395977,0.23570408731215062,0.011726168164592637,0.010521167889237404
Transformer,0.8281770577198994,platt,default,0.5,0.0,0.0,0.0,0.0,0.010856700062350705
Transformer,0.8281770577198994,platt,f1_swept,0.10919547881051564,0.21418967017321838,0.26314255174424256,0.23615592569983432,0.014295737341974323,0.010856700062350705
Transformer,0.8281770577198994,platt,prevalence_matched,0.11319678478473914,0.23480063642061616,0.2366145175395977,0.23570408731215062,0.011726168164592637,0.010856700062350705
